regime_id,option_type,stage_count,theorem_eligible_stage_count,m_matrix_stage_count,positive_lu_pivot_stage_count,positive_ul_pivot_stage_count,expected_contact_geometry_stage_count,converged_stage_count,max_normalized_lcp_residual,factorization_seconds_scoring_run,structural_check_seconds_scoring_run,projected_sweep_seconds_scoring_run,structural_failure_reasons,all_structural_checks_passed
put_T100_s020_r005_q003,put,1918,1918,1918,1918,1918,1918,1918,2.636779683484747e-16,0.5412926720455289,0.09326736303046346,0.34108518506400287,,True
call_T100_s020_r005_q006,call,1918,1918,1918,1918,1918,1918,1918,1.1535264656128807e-16,0.5674146192613989,0.10076982504688203,0.3246519360691309,,True
call_T100_s020_r005_q000,call,1918,1918,1918,1918,1918,1918,1918,4.4181066217341573e-16,0.5661403413396329,0.08688036492094398,0.32313665514811873,,True
put_T025_s020_r001_q000,put,1918,1918,1918,1918,1918,1918,1918,8.326672684688674e-17,0.5467408057302237,0.094676693668589,0.3463828545063734,,True
call_T025_s020_r001_q000,call,1918,1918,1918,1918,1918,1918,1918,4.461124618532934e-16,0.5420282122213393,0.08175967959687114,0.3086804272606969,,True
put_T200_s060_r010_q010,put,1918,1918,1918,1918,1918,1918,1918,1.5654144647214707e-14,0.5529705330263823,0.09533683606423438,0.3455745209939778,,True
call_T200_s060_r010_q010,call,1918,1918,1918,1918,1918,1918,1918,2.2038190343278354e-15,0.5487624551169574,0.09409935749135911,0.314687367528677,,True
put_T200_s020_r001_q010,put,1918,0,0,1918,1918,1918,1918,1.4710455076283324e-15,0.68438978982158,0.12058747210539877,0.4329074709676206,positive_offdiagonal,False
call_T200_s020_r010_q010,call,1918,1918,1918,1918,1918,1918,1918,2.456896853607138e-16,0.7849135876167566,0.1417555706575513,0.44855918688699603,,True
put_T050_s060_r005_q003,put,1918,1918,1918,1918,1918,1918,1918,2.3037127760972e-15,0.6028191887307912,0.10331415035761893,0.38052876363508403,,True
call_T050_s060_r005_q010,call,1918,1918,1918,1918,1918,1918,1918,5.249778270571086e-16,0.579770838143304,0.10037729050964117,0.3321045143529773,,True
call_T100_s060_r001_q006,call,1918,1918,1918,1918,1918,1918,1918,1.1730894577447695e-15,0.7516268247272819,0.12660055072046816,0.40002570184879005,,True
