regime_id,option_type,T,sigma,r,q,K,Smax,M,N,dS,dtau,split,split_reason,stress_holdout_flag,planned_use,solver_name,solver_variant,runtime_seconds,full_grid_rows,total_sample_rows,accepted_sample_rows,all_psor_steps_converged,max_psor_iterations,mean_psor_iterations,max_final_update,max_obstacle_violation,max_equation_violation,max_abs_complementarity_product,boundary_found_count,boundary_status,finite_delta_count,finite_gamma_count,strict_interior_node_count,acceptance_status,acceptance_reason,downstream_use_status
put_T025_s020_r001_q000,put,0.25,0.2,0.01,0.0,1.0,4.0,120,120,0.03333333333333333,0.0020833333333333333,train,Default construction-planning training regime.,no,train,american_crank_nicolson_psor_price,baseline_cn_psor,0.05600650003179908,14641,5203,5203,True,9,7.583333333333333,9.988440763733508e-09,0.0,1.639656872082229e-09,4.095609747886289e-11,120,BOUNDARIES_FOUND,14399,14399,13282,accepted,diagnostics_passed,v1_small_grid_only
put_T025_s020_r001_q003,put,0.25,0.2,0.01,0.03,1.0,4.0,120,120,0.03333333333333333,0.0020833333333333333,train,Default construction-planning training regime.,no,train,american_crank_nicolson_psor_price,baseline_cn_psor,0.0560672921128571,14641,5203,5203,True,9,7.75,9.964421125024936e-09,0.0,1.5775882987109635e-09,5.349200683714326e-11,120,BOUNDARIES_FOUND,14399,14399,13200,accepted,diagnostics_passed,v1_small_grid_only
put_T025_s020_r001_q006,put,0.25,0.2,0.01,0.06,1.0,4.0,120,120,0.03333333333333333,0.0020833333333333333,train,Default construction-planning training regime.,no,train,american_crank_nicolson_psor_price,baseline_cn_psor,0.05911999987438321,14641,5203,5203,True,9,8.058333333333334,9.37678076157189e-09,0.0,1.5339869175248766e-09,1.3016027664664258e-11,120,BOUNDARIES_FOUND,14399,14399,13200,accepted,diagnostics_passed,v1_small_grid_only
put_T025_s020_r001_q010,put,0.25,0.2,0.01,0.1,1.0,4.0,120,120,0.03333333333333333,0.0020833333333333333,train,Default construction-planning training regime.,no,train,american_crank_nicolson_psor_price,baseline_cn_psor,0.05795379215851426,14641,5203,5203,True,9,8.066666666666666,9.409515845312799e-09,0.0,1.5349871027026118e-09,1.8530772526140552e-11,120,BOUNDARIES_FOUND,14399,14399,13200,accepted,diagnostics_passed,v1_small_grid_only
put_T025_s020_r005_q000,put,0.25,0.2,0.05,0.0,1.0,4.0,120,120,0.03333333333333333,0.0020833333333333333,train,Default construction-planning training regime.,no,train,american_crank_nicolson_psor_price,baseline_cn_psor,0.05435337498784065,14641,5203,5203,True,9,7.466666666666667,9.919612237521691e-09,0.0,1.5412551382723572e-09,3.1769212005035496e-11,120,BOUNDARIES_FOUND,14399,14399,13415,accepted,diagnostics_passed,v1_small_grid_only
put_T025_s020_r005_q003,put,0.25,0.2,0.05,0.03,1.0,4.0,120,120,0.03333333333333333,0.0020833333333333333,train,Default construction-planning training regime.,no,train,american_crank_nicolson_psor_price,baseline_cn_psor,0.05630083312280476,14641,5203,5203,True,9,7.541666666666667,9.974009526278471e-09,0.0,1.6128285131034037e-09,3.766455108487423e-11,120,BOUNDARIES_FOUND,14399,14399,13335,accepted,diagnostics_passed,v1_small_grid_only
put_T025_s020_r005_q006,put,0.25,0.2,0.05,0.06,1.0,4.0,120,120,0.03333333333333333,0.0020833333333333333,train,Default construction-planning training regime.,no,train,american_crank_nicolson_psor_price,baseline_cn_psor,0.05500820791348815,14641,5203,5203,True,9,7.666666666666667,9.99094199732875e-09,0.0,1.5468222015757593e-09,4.6439164125333055e-11,120,BOUNDARIES_FOUND,14399,14399,13200,accepted,diagnostics_passed,v1_small_grid_only
put_T025_s020_r005_q010,put,0.25,0.2,0.05,0.1,1.0,4.0,120,120,0.03333333333333333,0.0020833333333333333,train,Default construction-planning training regime.,no,train,american_crank_nicolson_psor_price,baseline_cn_psor,0.06072604190558195,14641,5203,5203,True,9,7.991666666666666,9.998571345870566e-09,0.0,1.530446343440961e-09,6.799739849789431e-11,120,BOUNDARIES_FOUND,14399,14399,13200,accepted,diagnostics_passed,v1_small_grid_only
put_T025_s020_r010_q000,put,0.25,0.2,0.1,0.0,1.0,4.0,120,120,0.03333333333333333,0.0020833333333333333,train,Default construction-planning training regime.,no,train,american_crank_nicolson_psor_price,baseline_cn_psor,0.05368283414281905,14641,5203,5203,True,9,7.375,9.953830211462122e-09,0.0,1.5571681834594675e-09,2.5340715076555775e-11,120,BOUNDARIES_FOUND,14399,14399,13492,accepted,diagnostics_passed,v1_small_grid_only
put_T025_s020_r010_q003,put,0.25,0.2,0.1,0.03,1.0,4.0,120,120,0.03333333333333333,0.0020833333333333333,train,Default construction-planning training regime.,no,train,american_crank_nicolson_psor_price,baseline_cn_psor,0.05476199998520315,14641,5203,5203,True,9,7.416666666666667,9.962207126942846e-09,0.0,1.6504752226378927e-09,2.8103459896707516e-11,120,BOUNDARIES_FOUND,14399,14399,13464,accepted,diagnostics_passed,v1_small_grid_only
put_T025_s020_r010_q006,put,0.25,0.2,0.1,0.06,1.0,4.0,120,120,0.03333333333333333,0.0020833333333333333,train,Default construction-planning training regime.,no,train,american_crank_nicolson_psor_price,baseline_cn_psor,0.05424379091709852,14641,5203,5203,True,9,7.483333333333333,9.92540457982194e-09,0.0,1.5621224635012365e-09,3.302029042347984e-11,120,BOUNDARIES_FOUND,14399,14399,13406,accepted,diagnostics_passed,v1_small_grid_only
put_T025_s020_r010_q010,put,0.25,0.2,0.1,0.1,1.0,4.0,120,120,0.03333333333333333,0.0020833333333333333,train,Default construction-planning training regime.,no,train,american_crank_nicolson_psor_price,baseline_cn_psor,0.054592040833085775,14641,5203,5203,True,9,7.608333333333333,9.969946240112604e-09,0.0,1.5166967031257639e-09,4.191983033709363e-11,120,BOUNDARIES_FOUND,14399,14399,13282,accepted,diagnostics_passed,v1_small_grid_only
put_T025_s040_r001_q000,put,0.25,0.4,0.01,0.0,1.0,4.0,120,120,0.03333333333333333,0.0020833333333333333,train,Default construction-planning training regime.,no,train,american_crank_nicolson_psor_price,baseline_cn_psor,0.05171266687102616,14641,5203,5203,True,10,7.166666666666667,9.843943588874401e-09,0.0,1.4561389594103247e-09,3.3091335997050805e-11,120,BOUNDARIES_FOUND,14399,14399,13211,accepted,diagnostics_passed,v1_small_grid_only
put_T025_s040_r001_q003,put,0.25,0.4,0.01,0.03,1.0,4.0,120,120,0.03333333333333333,0.0020833333333333333,train,Default construction-planning training regime.,no,train,american_crank_nicolson_psor_price,baseline_cn_psor,0.05145841697230935,14641,5203,5203,True,10,7.166666666666667,9.821707752655229e-09,0.0,1.9584821264739816e-09,2.6029694497217695e-11,120,BOUNDARIES_FOUND,14399,14399,13200,accepted,diagnostics_passed,v1_small_grid_only
put_T025_s040_r001_q006,put,0.25,0.4,0.01,0.06,1.0,4.0,120,120,0.03333333333333333,0.0020833333333333333,train,Default construction-planning training regime.,no,train,american_crank_nicolson_psor_price,baseline_cn_psor,0.05005900003015995,14641,5203,5203,True,10,7.166666666666667,9.929270869055151e-09,0.0,1.9146679935966304e-09,2.863789727195336e-11,120,BOUNDARIES_FOUND,14399,14399,13200,accepted,diagnostics_passed,v1_small_grid_only
put_T025_s040_r001_q010,put,0.25,0.4,0.01,0.1,1.0,4.0,120,120,0.03333333333333333,0.0020833333333333333,train,Default construction-planning training regime.,no,train,american_crank_nicolson_psor_price,baseline_cn_psor,0.05164720816537738,14641,5203,5203,True,10,7.166666666666667,9.94320395464321e-09,0.0,2.228819559468853e-09,3.5988450136680345e-11,120,BOUNDARIES_FOUND,14399,14399,13200,accepted,diagnostics_passed,v1_small_grid_only
put_T025_s040_r005_q000,put,0.25,0.4,0.05,0.0,1.0,4.0,120,120,0.03333333333333333,0.0020833333333333333,train,Default construction-planning training regime.,no,train,american_crank_nicolson_psor_price,baseline_cn_psor,0.055423540994524956,14641,5203,5203,True,10,7.166666666666667,9.326269754953223e-09,0.0,1.535748694880823e-09,3.418365670393725e-11,120,BOUNDARIES_FOUND,14399,14399,13222,accepted,diagnostics_passed,v1_small_grid_only
put_T025_s040_r005_q003,put,0.25,0.4,0.05,0.03,1.0,4.0,120,120,0.03333333333333333,0.0020833333333333333,train,Default construction-planning training regime.,no,train,american_crank_nicolson_psor_price,baseline_cn_psor,0.051696958020329475,14641,5203,5203,True,10,7.166666666666667,9.696327956700002e-09,0.0,1.4589560948241598e-09,3.3505034713875505e-11,120,BOUNDARIES_FOUND,14399,14399,13215,accepted,diagnostics_passed,v1_small_grid_only
put_T025_s040_r005_q006,put,0.25,0.4,0.05,0.06,1.0,4.0,120,120,0.03333333333333333,0.0020833333333333333,train,Default construction-planning training regime.,no,train,american_crank_nicolson_psor_price,baseline_cn_psor,0.051316624972969294,14641,5203,5203,True,10,7.166666666666667,9.85335332770454e-09,0.0,1.973663538157311e-09,2.6710240229814585e-11,120,BOUNDARIES_FOUND,14399,14399,13200,accepted,diagnostics_passed,v1_small_grid_only
put_T025_s040_r005_q010,put,0.25,0.4,0.05,0.1,1.0,4.0,120,120,0.03333333333333333,0.0020833333333333333,train,Default construction-planning training regime.,no,train,american_crank_nicolson_psor_price,baseline_cn_psor,0.051144749857485294,14641,5203,5203,True,10,7.158333333333333,9.982813478637276e-09,0.0,2.2476043942676327e-09,2.6855172189717667e-11,120,BOUNDARIES_FOUND,14399,14399,13200,accepted,diagnostics_passed,v1_small_grid_only
put_T025_s040_r010_q000,put,0.25,0.4,0.1,0.0,1.0,4.0,120,120,0.03333333333333333,0.0020833333333333333,train,Default construction-planning training regime.,no,train,american_crank_nicolson_psor_price,baseline_cn_psor,0.05183116695843637,14641,5203,5203,True,10,7.158333333333333,9.439005674294343e-09,0.0,1.541368824242717e-09,3.535134216537906e-11,120,BOUNDARIES_FOUND,14399,14399,13235,accepted,diagnostics_passed,v1_small_grid_only
