regime_id,split,arm,converged,max_abs_value_error,value_rmse,boundary_matched_rows,boundary_mae,boundary_max_abs_error,delta_rmse,delta_max_abs_error,max_normalized_lcp_residual,max_normalized_obstacle_violation
call_T025_s020_r001_q000,test,D_mlp_policy,True,5.1953588779943064e-15,8.921556460603541e-17,0,nan,nan,1.90396026795386e-15,7.785392446196686e-14,3.4571738862222505e-16,0.0
call_T025_s020_r001_q000,test,C_mlp_psor,True,4.29820484759702e-11,4.467944923087337e-12,0,nan,nan,8.553549708984028e-11,1.053379494742046e-09,5.041747231175161e-13,0.0
call_T025_s020_r001_q000,test,A_previous_psor,True,1.1426415369442111e-12,2.1323783072661166e-13,0,nan,nan,2.915197585005235e-12,1.893019074827862e-11,5.041747231175161e-13,0.0
call_T025_s020_r001_q000,test,B_previous_policy,True,0.0,0.0,0,nan,nan,0.0,0.0,3.4571738862222505e-16,0.0
call_T025_s020_r005_q000,test,A_previous_psor,True,2.0667911826421914e-12,2.9029260293582435e-13,0,nan,nan,4.323520485266834e-12,2.6965096822095802e-11,9.44741161669035e-13,0.0
call_T025_s020_r005_q000,test,C_mlp_psor,True,8.036283444257108e-12,8.504884726636745e-13,0,nan,nan,1.6606941080029617e-11,1.8658063982712747e-10,9.44741161669035e-13,0.0
call_T025_s020_r005_q000,test,D_mlp_policy,True,2.513205392833364e-12,1.1629937138472215e-13,0,nan,nan,1.9642972361336415e-12,3.7679446032642055e-11,3.6349973749123576e-13,0.0
call_T025_s020_r005_q000,test,B_previous_policy,True,0.0,0.0,0,nan,nan,0.0,0.0,3.447585117858983e-16,0.0
call_T025_s020_r010_q000,test,D_mlp_policy,True,4.0434564507530384e-14,7.105462261394772e-16,0,nan,nan,1.5027817981279408e-14,6.056504411382619e-13,1.3590185699089605e-15,0.0
call_T025_s020_r010_q000,test,A_previous_psor,True,1.5294432387236157e-12,2.1218158090473362e-13,0,nan,nan,3.0910784001647136e-12,1.837197061149709e-11,6.931274939474109e-13,0.0
call_T025_s020_r010_q000,test,B_previous_policy,True,0.0,0.0,0,nan,nan,0.0,0.0,3.438030540054691e-16,0.0
call_T025_s020_r010_q000,test,C_mlp_psor,True,2.016553590777903e-12,3.0740084084039544e-13,0,nan,nan,4.97365444671042e-12,3.3159253121084475e-11,6.931274939474109e-13,0.0
call_T025_s040_r001_q000,test,D_mlp_policy,True,2.5423267459214235e-11,1.0895916385540136e-12,0,nan,nan,1.8961868677042062e-11,3.7991114252507335e-10,9.83189953769521e-13,0.0
call_T025_s040_r001_q000,test,C_mlp_psor,True,1.446842645691504e-12,1.4572514285577113e-13,0,nan,nan,3.0354697227794733e-12,2.2781776465308212e-11,7.112865887199637e-13,0.0
call_T025_s040_r001_q000,test,B_previous_policy,True,0.0,0.0,0,nan,nan,0.0,0.0,4.775891721499177e-16,0.0
call_T025_s040_r001_q000,test,A_previous_psor,True,1.446842645691504e-12,1.4501792636402407e-13,0,nan,nan,3.026953088895094e-12,2.2781776465308212e-11,7.112865887199637e-13,0.0
call_T025_s040_r005_q000,test,C_mlp_psor,True,1.2434497875801753e-12,1.1373760573415175e-13,0,nan,nan,2.536400911635391e-12,2.1043167208745217e-11,6.735223680943794e-13,0.0
call_T025_s040_r005_q000,test,B_previous_policy,True,0.0,0.0,0,nan,nan,0.0,0.0,4.085984208031006e-16,0.0
call_T025_s040_r005_q000,test,D_mlp_policy,True,2.0016696022974762e-11,8.576130938544841e-13,0,nan,nan,1.4899132562997363e-11,2.9915708430830317e-10,8.004994061795781e-13,0.0
call_T025_s040_r005_q000,test,A_previous_psor,True,1.2434497875801753e-12,1.1320991870588704e-13,0,nan,nan,2.5313621302309903e-12,2.1043167208745217e-11,6.735223680943794e-13,0.0
call_T025_s040_r010_q000,test,A_previous_psor,True,1.1257661469699087e-12,9.61357336972469e-14,0,nan,nan,2.1418921797744977e-12,1.9164669851079452e-11,5.964640538770754e-13,0.0
