regime_id,split,arm,converged,max_abs_value_error,value_rmse,boundary_matched_rows,boundary_mae,boundary_max_abs_error,delta_rmse,delta_max_abs_error,max_normalized_lcp_residual,max_normalized_obstacle_violation,total_seconds
call_T025_s020_r001_q000,test,raw_extrapolation_psor,True,2.1525004001432535e-12,1.9368505073758368e-13,0,nan,nan,2.7663989588830823e-12,2.894351425197783e-11,9.831943093556785e-13,0.0,0.1494531671050936
call_T025_s020_r001_q000,test,raw_extrapolation_policy_iteration,True,0.0,0.0,0,nan,nan,0.0,0.0,3.4571738862222505e-16,0.0,0.017991292057558894
call_T025_s020_r005_q000,test,raw_extrapolation_psor,True,2.566391543723512e-12,2.4507087497542796e-13,0,nan,nan,3.385219028678853e-12,3.120836922221315e-11,9.913554836953738e-13,0.0,0.16214037500321865
call_T025_s020_r005_q000,test,raw_extrapolation_policy_iteration,True,2.513205392833364e-12,1.1629914641270356e-13,0,nan,nan,1.9642912550274832e-12,3.7679446032642055e-11,3.6349973749123576e-13,0.0,0.015712165972217917
call_T025_s020_r010_q000,test,raw_extrapolation_psor,True,2.6121327323380683e-12,2.3769020200165206e-13,0,nan,nan,3.231741330974573e-12,3.142153204294118e-11,9.96029676575465e-13,0.0,0.16703124984633178
call_T025_s020_r010_q000,test,raw_extrapolation_policy_iteration,True,3.3721124881912175e-15,1.517927619694952e-16,0,nan,nan,2.515071268671829e-15,5.057464841847275e-14,8.354541948323586e-16,0.0,0.015077666961587965
call_T025_s040_r001_q000,test,raw_extrapolation_psor,True,1.63158375698913e-12,1.162149260488221e-13,0,nan,nan,2.541145860656481e-12,2.5566215811068105e-11,9.962109916534972e-13,0.0,0.1946284589357674
call_T025_s040_r001_q000,test,raw_extrapolation_policy_iteration,True,0.0,0.0,0,nan,nan,0.0,0.0,4.775891721499177e-16,0.0,0.015756290988065302
call_T025_s040_r005_q000,test,raw_extrapolation_psor,True,1.524558257415265e-12,1.1451209413747313e-13,0,nan,nan,2.4573753662804233e-12,2.5726087926614127e-11,9.880850673178035e-13,0.0,0.2075953339226544
call_T025_s040_r005_q000,test,raw_extrapolation_policy_iteration,True,0.0,0.0,0,nan,nan,0.0,0.0,4.085984208031006e-16,0.0,0.01566216698847711
call_T025_s040_r010_q000,test,raw_extrapolation_psor,True,1.6404655411861313e-12,1.1144066034145805e-13,0,nan,nan,2.3600110743210737e-12,2.6851854073584036e-11,9.91834974669445e-13,0.0,0.2152260000584647
call_T025_s040_r010_q000,test,raw_extrapolation_policy_iteration,True,0.0,0.0,0,nan,nan,0.0,0.0,5.434219838038209e-16,0.0,0.015273291966877878
call_T025_s060_r001_q000,test,raw_extrapolation_psor,True,2.8998803358604164e-10,8.04751862721706e-11,0,nan,nan,1.4905436845524012e-10,4.2503334185539643e-10,9.970352573013327e-13,0.0,0.25716574990656227
call_T025_s060_r001_q000,test,raw_extrapolation_policy_iteration,True,0.0,0.0,0,nan,nan,0.0,0.0,4.871207254908883e-16,0.0,0.01541212503798306
call_T025_s060_r001_q010,stress_holdout,raw_extrapolation_psor,True,1.539954882362471e-11,1.2829496193220977e-12,120,1.0181300247324998e-13,5.0530690742789375e-12,2.2756984335681303e-11,2.401787657646537e-10,9.986594503046383e-13,0.0,0.13699108292348683
call_T025_s060_r001_q010,stress_holdout,raw_extrapolation_policy_iteration,True,0.0,0.0,120,0.0,0.0,0.0,0.0,2.0341396894981313e-17,0.0,0.018239665892906487
call_T025_s060_r005_q000,test,raw_extrapolation_psor,True,3.3212721461950423e-10,8.721209861642592e-11,0,nan,nan,1.5836437379875822e-10,4.737743530824901e-10,9.873752224929527e-13,0.0,0.2751543748890981
call_T025_s060_r005_q000,test,raw_extrapolation_policy_iteration,True,0.0,0.0,0,nan,nan,0.0,0.0,4.865278907714339e-16,0.0,0.015288126072846353
call_T025_s060_r005_q010,stress_holdout,raw_extrapolation_psor,True,1.5297425652593954e-11,1.311304625811719e-12,120,3.860615530963211e-14,1.6833201499366623e-12,2.3732311605847558e-11,2.538121379735969e-10,9.985996279583135e-13,0.0,0.13691858400125057
call_T025_s060_r005_q010,stress_holdout,raw_extrapolation_policy_iteration,True,0.0,0.0,120,0.0,0.0,0.0,0.0,3.049143652067868e-17,0.0,0.018557915929704905
call_T025_s060_r010_q000,test,raw_extrapolation_psor,True,3.3661429199582926e-10,9.007928957499046e-11,0,nan,nan,1.6145369884316712e-10,4.725420055251561e-10,9.993315623870875e-13,0.0,0.28301737597212195
call_T025_s060_r010_q000,test,raw_extrapolation_policy_iteration,True,0.0,0.0,0,nan,nan,0.0,0.0,4.450988764046945e-16,0.0,0.01528762502130121
call_T025_s060_r010_q010,stress_holdout,raw_extrapolation_psor,True,1.456550678680113e-11,1.0731424944886602e-12,120,7.2293837583004e-13,4.333378100795926e-11,1.8566208054281768e-11,2.0642831888295632e-10,9.96745063647049e-13,0.0,0.13882158300839365
call_T025_s060_r010_q010,stress_holdout,raw_extrapolation_policy_iteration,True,0.0,0.0,120,0.0,0.0,0.0,0.0,3.0465652299920665e-17,0.0,0.019521084032021463
call_T050_s020_r001_q000,test,raw_extrapolation_psor,True,1.5698553568199713e-12,1.5298723989622592e-13,0,nan,nan,2.5223918586622854e-12,2.396749465560788e-11,9.960247564677044e-13,0.0,0.1773744160309434
call_T050_s020_r001_q000,test,raw_extrapolation_policy_iteration,True,0.0,0.0,0,nan,nan,0.0,0.0,3.743697845419315e-16,0.0,0.016688792034983635
call_T050_s020_r005_q000,test,raw_extrapolation_psor,True,1.6679990721968352e-12,1.4825271711900423e-13,0,nan,nan,2.3712153466352803e-12,2.4666935161121728e-11,9.854113371355836e-13,0.0,0.1919557920191437
call_T050_s020_r005_q000,test,raw_extrapolation_policy_iteration,True,0.0,0.0,0,nan,nan,0.0,0.0,4.656137301583582e-16,0.0,0.01544545916840434
call_T050_s020_r010_q000,test,raw_extrapolation_psor,True,1.8958168368499173e-12,1.6173347310355985e-13,0,nan,nan,2.545524830871224e-12,2.5712765250318625e-11,9.995179228036323e-13,0.0,0.19922804203815758
call_T050_s020_r010_q000,test,raw_extrapolation_policy_iteration,True,0.0,0.0,0,nan,nan,0.0,0.0,4.586053899083257e-16,0.0,0.01524995791260153
call_T050_s040_r001_q000,test,raw_extrapolation_psor,True,2.7783020328797647e-10,6.930896487583217e-11,0,nan,nan,1.319431930578576e-10,3.9340863899894885e-10,9.9166416948549e-13,0.0,0.29479741596151143
call_T050_s040_r001_q000,test,raw_extrapolation_policy_iteration,True,0.0,0.0,0,nan,nan,0.0,0.0,5.298634664423168e-16,0.0,0.01738033292349428
call_T050_s040_r005_q000,test,raw_extrapolation_psor,True,2.9631275211272623e-10,7.358633868745821e-11,0,nan,nan,1.3685344571684526e-10,4.193345670699955e-10,9.927234736181316e-13,0.0,0.37109383405186236
call_T050_s040_r005_q000,test,raw_extrapolation_policy_iteration,True,0.0,0.0,0,nan,nan,0.0,0.0,4.836355802307015e-16,0.0,0.02171312493737787
call_T050_s040_r010_q000,test,raw_extrapolation_psor,True,2.88745916066091e-10,7.489666425079444e-11,0,nan,nan,1.3681384422555632e-10,3.9288905462342427e-10,9.838900424763256e-13,0.0,0.4331381240626797
call_T050_s040_r010_q000,test,raw_extrapolation_policy_iteration,True,0.0,0.0,0,nan,nan,0.0,0.0,5.645662697385049e-16,0.0,0.0243688749615103
call_T050_s060_r001_q000,test,raw_extrapolation_psor,True,4.379834273038341e-10,1.457736762902247e-10,0,nan,nan,2.399170391075788e-10,7.658007561417435e-10,9.98416642998967e-13,0.0,0.7932297919178382
call_T050_s060_r001_q000,test,raw_extrapolation_policy_iteration,True,0.0,0.0,0,nan,nan,0.0,0.0,4.2277354689623107e-16,0.0,0.026863834005780518
call_T050_s060_r001_q010,stress_holdout,raw_extrapolation_psor,True,1.3767098572259329e-11,8.975163611015019e-13,120,1.6194638223036388e-13,1.258793069780495e-11,1.8094978893393862e-11,3.286696470539141e-10,9.916463356311496e-13,0.0,0.16524649900384247
call_T050_s060_r001_q010,stress_holdout,raw_extrapolation_policy_iteration,True,0.0,0.0,120,0.0,0.0,0.0,0.0,2.942527071204135e-17,0.0,0.02331987489014864
call_T050_s060_r005_q000,test,raw_extrapolation_psor,True,4.5164982864775993e-10,1.5010875636085353e-10,0,nan,nan,2.4379259715678315e-10,7.749134667278668e-10,9.994308825213385e-13,0.0,0.5271993338828906
call_T050_s060_r005_q000,test,raw_extrapolation_policy_iteration,True,0.0,0.0,0,nan,nan,0.0,0.0,4.693354150586762e-16,0.0,0.015211416990496218
call_T050_s060_r005_q010,stress_holdout,raw_extrapolation_psor,True,1.3348155913917026e-11,9.058141879516655e-13,120,6.01537338458987e-14,1.4950263249602358e-12,1.86078452524192e-11,2.887216021818517e-10,9.942830175750037e-13,0.0,0.16087479097768664
call_T050_s060_r005_q010,stress_holdout,raw_extrapolation_policy_iteration,True,0.0,0.0,120,0.0,0.0,0.0,0.0,3.5282660619045215e-17,0.0,0.022619790979661047
call_T050_s060_r010_q000,test,raw_extrapolation_psor,True,4.609903569985363e-10,1.5169690870242725e-10,0,nan,nan,2.4336417096830537e-10,7.703504500966574e-10,9.97604463064973e-13,0.0,0.5072637490229681
call_T050_s060_r010_q000,test,raw_extrapolation_policy_iteration,True,0.0,0.0,0,nan,nan,0.0,0.0,6.477019176184712e-16,0.0,0.015340042067691684
call_T050_s060_r010_q010,stress_holdout,raw_extrapolation_psor,True,1.3126222331294457e-11,9.348707948291923e-13,120,1.3633908816738464e-13,6.842082456159915e-12,1.984149953218332e-11,2.8543001295844306e-10,9.708101802483692e-13,0.0,0.17631929193157703
call_T050_s060_r010_q010,stress_holdout,raw_extrapolation_policy_iteration,True,0.0,0.0,120,0.0,0.0,0.0,0.0,4.6997521630390697e-17,0.0,0.022085706936195493
call_T100_s020_r001_q000,test,raw_extrapolation_psor,True,1.4983569940341113e-12,1.0811463261195687e-13,0,nan,nan,2.3220162440277044e-12,2.5872637365864648e-11,9.944556092298667e-13,0.0,0.24259229202289134
