representation,mode,singular_value,cumulative_energy
unaligned,1,35.61474183322833,0.9607617738500753
unaligned,2,5.641036371290915,0.9848649299847252
unaligned,3,3.851302630525589,0.9960998867834221
unaligned,4,1.446391187047582,0.9976845159605051
unaligned,5,1.2455419765017377,0.9988596106162388
unaligned,6,0.8610601034530948,0.9994212053779269
unaligned,7,0.5157679439119978,0.9996227006252307
unaligned,8,0.4039879046283878,0.999746321792307
unaligned,9,0.3685909629546531,0.9998492289256519
unaligned,10,0.2573853322006119,0.9998994081220405
unaligned,11,0.21038374074580002,0.9999329340231716
unaligned,12,0.17837431817259258,0.9999570342298126
unaligned,13,0.12311449073143095,0.9999685150908444
unaligned,14,0.09701568301646533,0.999975644277826
unaligned,15,0.08589454336326363,0.9999812326750037
unaligned,16,0.07279061851074978,0.9999852460240592
unaligned,17,0.0664658209996031,0.9999885922315067
unaligned,18,0.053686894882680504,0.9999907754273036
unaligned,19,0.05219888947642407,0.9999928392797349
unaligned,20,0.040758486813728394,0.9999940976029775
unaligned,21,0.03791776411642915,0.9999951866372697
unaligned,22,0.03387055808606093,0.9999960555993385
unaligned,23,0.030011132692103554,0.9999967378137482
unaligned,24,0.024462420737633814,0.9999971910816621
unaligned,25,0.024322139463093192,0.9999976391658957
unaligned,26,0.02000157725195879,0.9999979421951812
unaligned,27,0.01959317791314425,0.9999982329760825
unaligned,28,0.018171242260976356,0.999998483082797
unaligned,29,0.015827525061045466,0.9999986728329495
unaligned,30,0.014687027348605417,0.999998836222366
unaligned,31,0.014022282734100807,0.9999989851562631
unaligned,32,0.012880681592484936,0.9999991108268963
unaligned,33,0.011466016922322478,0.9999992104089942
unaligned,34,0.01055503228643329,0.9999992947959355
unaligned,35,0.01021337806463988,0.9999993738082769
unaligned,36,0.009988370993917292,0.9999994493775846
unaligned,37,0.009032723603592403,0.9999995111783078
unaligned,38,0.008257704569697667,0.9999995628288395
unaligned,39,0.007921717760304326,0.9999996103617979
unaligned,40,0.0072472612072725226,0.9999996501453854
unaligned,41,0.0067278141820029565,0.9999996844303802
unaligned,42,0.006428341217144057,0.9999997157310734
unaligned,43,0.006269885650713266,0.9999997455076904
unaligned,44,0.005494038617488285,0.9999997683710227
unaligned,45,0.0050664255170578595,0.9999997878138509
unaligned,46,0.0046462720339048936,0.9999998041656439
unaligned,47,0.0045519246963232835,0.9999998198600994
unaligned,48,0.004328014261321377,0.9999998340485013
unaligned,49,0.0041270263226624426,0.9999998469497158
unaligned,50,0.003902372715401893,0.9999998584846098
unaligned,51,0.0036570421564162937,0.9999998686147638
unaligned,52,0.003644116911251611,0.9999998786734373
unaligned,53,0.0034037230176851983,0.9999998874487892
unaligned,54,0.003311946345094643,0.9999998957572906
unaligned,55,0.003062488376902245,0.9999999028613243
unaligned,56,0.0029584651403558575,0.9999999094909503
unaligned,57,0.0028570975640240044,0.99999991567405
