split,region,row_count,premium_mae,premium_rmse,premium_max_abs_error,negative_premium_rate
train,all,1051006,0.0010693978896579065,0.001974264434369106,0.025022194043967966,0.0
train,boundary_near,64834,0.000988286385042379,0.0019972308493378934,0.015696401474972393,0.0
train,strict_interior,861030,0.0011458002740392164,0.0020873907211317938,0.025022194043967966,0.0
validation,all,98857,0.000715010963833856,0.001150344633505292,0.005274531063175405,0.0
validation,boundary_near,8027,0.0004087838756142614,0.0008114161941666268,0.004509835239860677,0.0
validation,strict_interior,78983,0.0007387338263235978,0.0012039483270571442,0.005274531063175405,0.0
test,all,223729,0.003754731669906178,0.006802752973705978,0.06514893523031764,0.0
test,boundary_near,2219,0.0016571680873431382,0.002788694846910968,0.009094789950179639,0.0
test,strict_interior,193872,0.004118130972163698,0.007266627580090981,0.06514893523031764,0.0
stress_holdout,all,124872,0.0022637367783289782,0.004072167468070287,0.039163405454830144,0.0
stress_holdout,boundary_near,6341,0.0006533476490701514,0.0014496904992730637,0.013099544591275165,0.0
stress_holdout,strict_interior,103124,0.002514156274395284,0.004414861128839708,0.039163405454830144,0.0
