regime_id,option_type,T,sigma,r,q,K,Smax,M,N,split
call_T025_s020_r001_q000,call,0.25,0.2,0.01,0.0,1.0,4.0,120,120,test
call_T025_s020_r001_q003,call,0.25,0.2,0.01,0.03,1.0,4.0,120,120,train
call_T025_s020_r001_q006,call,0.25,0.2,0.01,0.06,1.0,4.0,120,120,train
call_T025_s020_r001_q010,call,0.25,0.2,0.01,0.1,1.0,4.0,120,120,train
call_T025_s020_r005_q000,call,0.25,0.2,0.05,0.0,1.0,4.0,120,120,test
call_T025_s020_r005_q003,call,0.25,0.2,0.05,0.03,1.0,4.0,120,120,train
call_T025_s020_r005_q006,call,0.25,0.2,0.05,0.06,1.0,4.0,120,120,train
call_T025_s020_r005_q010,call,0.25,0.2,0.05,0.1,1.0,4.0,120,120,train
call_T025_s020_r010_q000,call,0.25,0.2,0.1,0.0,1.0,4.0,120,120,test
call_T025_s020_r010_q003,call,0.25,0.2,0.1,0.03,1.0,4.0,120,120,train
call_T025_s020_r010_q006,call,0.25,0.2,0.1,0.06,1.0,4.0,120,120,train
call_T025_s020_r010_q010,call,0.25,0.2,0.1,0.1,1.0,4.0,120,120,train
call_T025_s040_r001_q000,call,0.25,0.4,0.01,0.0,1.0,4.0,120,120,test
call_T025_s040_r001_q003,call,0.25,0.4,0.01,0.03,1.0,4.0,120,120,train
call_T025_s040_r001_q006,call,0.25,0.4,0.01,0.06,1.0,4.0,120,120,train
call_T025_s040_r001_q010,call,0.25,0.4,0.01,0.1,1.0,4.0,120,120,train
call_T025_s040_r005_q000,call,0.25,0.4,0.05,0.0,1.0,4.0,120,120,test
call_T025_s040_r005_q003,call,0.25,0.4,0.05,0.03,1.0,4.0,120,120,train
call_T025_s040_r005_q006,call,0.25,0.4,0.05,0.06,1.0,4.0,120,120,train
call_T025_s040_r005_q010,call,0.25,0.4,0.05,0.1,1.0,4.0,120,120,train
call_T025_s040_r010_q000,call,0.25,0.4,0.1,0.0,1.0,4.0,120,120,test
call_T025_s040_r010_q003,call,0.25,0.4,0.1,0.03,1.0,4.0,120,120,train
call_T025_s040_r010_q006,call,0.25,0.4,0.1,0.06,1.0,4.0,120,120,train
call_T025_s040_r010_q010,call,0.25,0.4,0.1,0.1,1.0,4.0,120,120,train
call_T025_s060_r001_q000,call,0.25,0.6,0.01,0.0,1.0,4.0,120,120,test
call_T025_s060_r001_q003,call,0.25,0.6,0.01,0.03,1.0,4.0,120,120,train
call_T025_s060_r001_q006,call,0.25,0.6,0.01,0.06,1.0,4.0,120,120,train
call_T025_s060_r001_q010,call,0.25,0.6,0.01,0.1,1.0,4.0,120,120,stress_holdout
call_T025_s060_r005_q000,call,0.25,0.6,0.05,0.0,1.0,4.0,120,120,test
call_T025_s060_r005_q003,call,0.25,0.6,0.05,0.03,1.0,4.0,120,120,train
call_T025_s060_r005_q006,call,0.25,0.6,0.05,0.06,1.0,4.0,120,120,train
call_T025_s060_r005_q010,call,0.25,0.6,0.05,0.1,1.0,4.0,120,120,stress_holdout
call_T025_s060_r010_q000,call,0.25,0.6,0.1,0.0,1.0,4.0,120,120,test
call_T025_s060_r010_q003,call,0.25,0.6,0.1,0.03,1.0,4.0,120,120,train
call_T025_s060_r010_q006,call,0.25,0.6,0.1,0.06,1.0,4.0,120,120,train
call_T025_s060_r010_q010,call,0.25,0.6,0.1,0.1,1.0,4.0,120,120,stress_holdout
call_T050_s020_r001_q000,call,0.5,0.2,0.01,0.0,1.0,4.0,120,120,test
call_T050_s020_r001_q003,call,0.5,0.2,0.01,0.03,1.0,4.0,120,120,train
call_T050_s020_r001_q006,call,0.5,0.2,0.01,0.06,1.0,4.0,120,120,train
call_T050_s020_r001_q010,call,0.5,0.2,0.01,0.1,1.0,4.0,120,120,train
call_T050_s020_r005_q000,call,0.5,0.2,0.05,0.0,1.0,4.0,120,120,test
call_T050_s020_r005_q003,call,0.5,0.2,0.05,0.03,1.0,4.0,120,120,validation
call_T050_s020_r005_q006,call,0.5,0.2,0.05,0.06,1.0,4.0,120,120,validation
call_T050_s020_r005_q010,call,0.5,0.2,0.05,0.1,1.0,4.0,120,120,validation
