artifact_bytes,condition_number,construction_seconds,dual_dimension,failure_reason,inf_sup_constant,option_type,path,primal_dimension,protocol_hash,requested_dimension,status
12469,107.17883604730677,1.3584383329143748,4,,0.999999999999998,put,02_basis/put/basis_04.npz,8,eb94e95b98a28e73f7fd617c0c9aaae0816b5b17ad4bc8cdcdf9d9c6cc23e7e3,4,COMPLETE
20318,2886.0585045288394,1.6894136250484735,8,,0.999999999999922,put,02_basis/put/basis_08.npz,16,eb94e95b98a28e73f7fd617c0c9aaae0816b5b17ad4bc8cdcdf9d9c6cc23e7e3,8,COMPLETE
28202,19450.654845376754,2.041570832952857,12,,0.9999999999996583,put,02_basis/put/basis_12.npz,24,eb94e95b98a28e73f7fd617c0c9aaae0816b5b17ad4bc8cdcdf9d9c6cc23e7e3,12,COMPLETE
35977,67807.60982956334,2.4043195419944823,16,,0.9999999999990459,put,02_basis/put/basis_16.npz,32,eb94e95b98a28e73f7fd617c0c9aaae0816b5b17ad4bc8cdcdf9d9c6cc23e7e3,16,COMPLETE
51738,950536.7031773375,3.1586024580756202,24,,0.9999999999908521,put,02_basis/put/basis_24.npz,48,eb94e95b98a28e73f7fd617c0c9aaae0816b5b17ad4bc8cdcdf9d9c6cc23e7e3,24,COMPLETE
0,inf,3.8985189159866422,,reduced inf-sup constant 0.000e+00 is below 1e-8,0.0,put,,,eb94e95b98a28e73f7fd617c0c9aaae0816b5b17ad4bc8cdcdf9d9c6cc23e7e3,32,FAILED_STABILITY
13065,10.87374278364637,0.9517752500250936,4,,0.9999999999999947,call,02_basis/call/basis_04.npz,8,eb94e95b98a28e73f7fd617c0c9aaae0816b5b17ad4bc8cdcdf9d9c6cc23e7e3,4,COMPLETE
21434,205.49517085577386,1.1736474999925122,8,,0.9999999999999986,call,02_basis/call/basis_08.npz,16,eb94e95b98a28e73f7fd617c0c9aaae0816b5b17ad4bc8cdcdf9d9c6cc23e7e3,8,COMPLETE
29425,1387.3123721522447,1.4447601248975843,12,,0.9999999999999831,call,02_basis/call/basis_12.npz,24,eb94e95b98a28e73f7fd617c0c9aaae0816b5b17ad4bc8cdcdf9d9c6cc23e7e3,12,COMPLETE
37362,2582.07819294723,1.7121782089816406,16,,0.9999999999999615,call,02_basis/call/basis_16.npz,32,eb94e95b98a28e73f7fd617c0c9aaae0816b5b17ad4bc8cdcdf9d9c6cc23e7e3,16,COMPLETE
53800,14849.445062474691,2.26377495797351,24,,0.9999999999998235,call,02_basis/call/basis_24.npz,48,eb94e95b98a28e73f7fd617c0c9aaae0816b5b17ad4bc8cdcdf9d9c6cc23e7e3,24,COMPLETE
69728,40002.44377379401,2.8295358748873696,32,,0.9999999999996346,call,02_basis/call/basis_32.npz,64,eb94e95b98a28e73f7fd617c0c9aaae0816b5b17ad4bc8cdcdf9d9c6cc23e7e3,32,COMPLETE
