iteration,kind,leading_residual_singular_value,mean_squared_projection_error,option_type,original_w_norm,regime_id,selection_score,time_index
1,primal_pod,16.383055788832035,2.2193665341009416,put,,put_T025_s020_r010_q000,,
2,primal_pod,2.7716852063789306,0.0652647076940343,put,,put_T200_s060_r001_q006,,
3,primal_pod,1.165295106251245,0.012259325926264737,put,,put_T200_s020_r001_q010,,
4,primal_pod,0.7901515396469994,0.005524300539426109,put,,put_T100_s040_r010_q000,,
5,primal_pod,0.4238576484362604,0.0016457108733187503,put,,put_T200_s020_r010_q000,,
6,primal_pod,0.353531915401184,0.001265692323912287,put,,put_T050_s020_r001_q010,,
7,primal_pod,0.28121988539461223,0.0008259219250711592,put,,put_T200_s060_r010_q000,,
8,primal_pod,0.1884560806339869,0.0003925111667833091,put,,put_T200_s040_r001_q010,,
9,primal_pod,0.20196411812594825,0.00038147522651195225,put,,put_T025_s020_r010_q000,,
10,primal_pod,0.13943121639310996,0.00018241921901229193,put,,put_T200_s020_r010_q006,,
11,primal_pod,0.10040622789597267,0.00010468494354737661,put,,put_T025_s020_r001_q010,,
12,primal_pod,0.09138858042529567,8.574129728664667e-05,put,,put_T200_s040_r005_q000,,
13,primal_pod,0.08907250222515489,7.886693849224103e-05,put,,put_T200_s040_r005_q010,,
14,primal_pod,0.06948515608335895,5.210514589896159e-05,put,,put_T050_s020_r010_q000,,
15,primal_pod,0.045852927807610896,2.9499189827734688e-05,put,,put_T200_s060_r005_q000,,
16,primal_pod,0.0440434238012897,1.9865834573249322e-05,put,,put_T200_s020_r010_q003,,
17,primal_pod,0.046274664090453436,1.81392119682509e-05,put,,put_T025_s020_r010_q000,,
18,primal_pod,0.03753302817338713,1.4649796826741013e-05,put,,put_T100_s040_r010_q003,,
19,primal_pod,0.03422969119365178,1.1051384324914824e-05,put,,put_T100_s020_r001_q010,,
20,primal_pod,0.028382623689088303,8.420144470428316e-06,put,,put_T200_s060_r005_q006,,
21,primal_pod,0.02307096807693394,5.86500378784937e-06,put,,put_T200_s020_r005_q003,,
22,primal_pod,0.018391638726361847,4.944288137708618e-06,put,,put_T200_s060_r010_q003,,
23,primal_pod,0.018147469300331818,3.089464437033216e-06,put,,put_T025_s020_r001_q010,,
24,primal_pod,0.015992325264858272,2.4960270918382327e-06,put,,put_T100_s040_r010_q006,,
1,dual_angle,,,put,0.03542355166831769,put_T200_s020_r010_q000,0.03542355166831769,1
2,dual_angle,,,put,0.000445409723914405,put_T200_s040_r001_q010,0.9091462982277396,120
3,dual_angle,,,put,0.0017124425379763746,put_T200_s060_r001_q000,0.4995388089154298,75
4,dual_angle,,,put,0.0006180922826864704,put_T050_s060_r001_q000,0.22032287626100877,55
5,dual_angle,,,put,0.0009673913722586747,put_T200_s060_r001_q003,0.1877406935932591,120
6,dual_angle,,,put,0.007428206022972775,put_T100_s040_r005_q000,0.08801488038262659,40
7,dual_angle,,,put,0.010361195586465071,put_T200_s060_r005_q000,0.07725864826456327,111
8,dual_angle,,,put,0.0006433577475596615,put_T200_s060_r001_q006,0.06402425610317142,120
9,dual_angle,,,put,0.0015006852382735165,put_T200_s060_r001_q000,0.05459764650121206,120
10,dual_angle,,,put,0.0009200160144236438,put_T100_s060_r001_q000,0.03314477420964538,115
11,dual_angle,,,put,0.008147914297744393,put_T100_s020_r005_q000,0.032860844595768955,95
12,dual_angle,,,put,0.0006888216676146046,put_T200_s040_r001_q006,0.032171165193942634,112
