all_gates_pass,boundary_found_count,boundary_roundtrip_max,boundary_roundtrip_pass,canonical_points,endpoint_max_error,endpoint_pass,failure_reason,max_row_pairing_relative_error,minimum_aligned_multiplier,multiplier_nonnegative_pass,multiplier_roundtrip_rmse,no_boundary_count,option_type,pairing_pass,regime_id,source_multiplier_correction_max,status,surface_rmse_pass,surface_roundtrip_rmse,trajectory_pairing_relative_error
True,120,0.0,True,3841,0.0,True,,4.522003009525293e-05,0.0,True,5.44291725807648e-07,0,call,True,call_T025_s020_r001_q003,0.0,COMPLETE,True,2.1689267997477317e-07,1.9241481764989133e-05
True,120,0.0,True,3841,0.0,True,,4.172771323998789e-05,0.0,True,9.452301051298202e-07,0,call,True,call_T025_s020_r001_q006,0.0,COMPLETE,True,1.4694943564149846e-07,1.5074714939897287e-05
True,120,0.0,True,3841,0.0,True,,3.460580169302959e-05,0.0,True,1.5229992203437876e-06,0,call,True,call_T025_s020_r001_q010,0.0,COMPLETE,True,1.2354102699286e-07,1.3329098180413476e-05
True,120,0.0,True,3841,0.0,True,,2.6116592175262106e-05,0.0,True,5.94166379993245e-10,0,call,True,call_T025_s020_r005_q003,0.0,COMPLETE,True,2.988171122634908e-07,1.608394825128606e-06
True,120,0.0,True,3841,0.0,True,,2.0399315865750323e-05,0.0,True,4.2431618880676507e-07,0,call,True,call_T025_s020_r005_q006,0.0,COMPLETE,True,2.2165734445061778e-07,4.249379881287025e-06
True,120,0.0,True,3841,0.0,True,,2.272597165086436e-05,0.0,True,1.0444010373155562e-06,0,call,True,call_T025_s020_r005_q010,0.0,COMPLETE,True,1.3411273797864316e-07,7.375591399083226e-06
False,120,0.0,True,3841,0.0,True,,0.0028628023892993135,0.0,True,6.559589523007466e-10,0,call,False,call_T025_s020_r010_q003,0.0,COMPLETE,True,1.4693876323750834e-06,0.0009908019340005118
True,120,0.0,True,3841,0.0,True,,3.055387016193988e-05,0.0,True,4.062456665989034e-08,0,call,True,call_T025_s020_r010_q006,0.0,COMPLETE,True,4.420142750133615e-07,4.644944712872925e-06
True,120,0.0,True,3841,0.0,True,,1.3810121896758603e-05,0.0,True,3.5365227377708034e-07,0,call,True,call_T025_s020_r010_q010,0.0,COMPLETE,True,2.3337631895753027e-07,1.7773579676714396e-06
True,120,0.0,True,3841,0.0,True,,0.0001523077213301565,0.0,True,8.719011686651977e-07,0,call,True,call_T025_s040_r001_q003,0.0,COMPLETE,True,4.69699132502973e-07,5.695872017005576e-05
True,120,0.0,True,3841,0.0,True,,0.00012234721761716843,0.0,True,2.5541083948002378e-06,0,call,True,call_T025_s040_r001_q006,0.0,COMPLETE,True,3.7275469763959907e-07,4.881005749873979e-05
