changed_fraction,changed_over_half_cell,option_type,regime_id,usable_rows
0.0,0,put,put_T025_s020_r001_q000,120
0.0,0,put,put_T025_s020_r001_q003,120
0.0,0,put,put_T025_s020_r001_q006,120
0.0,0,put,put_T025_s020_r001_q010,120
0.0,0,put,put_T025_s020_r005_q000,120
0.0,0,put,put_T025_s020_r005_q003,120
0.0,0,put,put_T025_s020_r005_q006,120
0.0,0,put,put_T025_s020_r005_q010,120
0.0,0,put,put_T025_s020_r010_q000,120
0.0,0,put,put_T025_s020_r010_q003,120
0.0,0,put,put_T025_s020_r010_q006,120
0.0,0,put,put_T025_s020_r010_q010,120
0.0,0,put,put_T025_s040_r001_q000,120
0.0,0,put,put_T025_s040_r001_q003,120
0.0,0,put,put_T025_s040_r001_q006,120
0.0,0,put,put_T025_s040_r001_q010,120
0.0,0,put,put_T025_s040_r005_q000,120
0.0,0,put,put_T025_s040_r005_q003,120
0.0,0,put,put_T025_s040_r005_q006,120
0.0,0,put,put_T025_s040_r005_q010,120
0.0,0,put,put_T025_s040_r010_q000,120
0.0,0,put,put_T025_s040_r010_q003,120
0.0,0,put,put_T025_s040_r010_q006,120
0.0,0,put,put_T025_s040_r010_q010,120
0.0,0,put,put_T025_s060_r001_q000,120
0.0,0,put,put_T025_s060_r001_q003,120
0.0,0,put,put_T025_s060_r001_q006,120
0.0,0,put,put_T025_s060_r005_q000,120
0.0,0,put,put_T025_s060_r005_q003,120
0.0,0,put,put_T025_s060_r005_q006,120
0.0,0,put,put_T025_s060_r010_q000,120
0.0,0,put,put_T025_s060_r010_q003,120
0.0,0,put,put_T025_s060_r010_q006,120
0.0,0,put,put_T050_s020_r001_q000,120
0.0,0,put,put_T050_s020_r001_q003,120
0.0,0,put,put_T050_s020_r001_q006,120
0.0,0,put,put_T050_s020_r001_q010,120
0.0,0,put,put_T050_s020_r010_q000,120
0.0,0,put,put_T050_s020_r010_q003,120
0.0,0,put,put_T050_s020_r010_q006,120
0.0,0,put,put_T050_s020_r010_q010,120
0.0,0,put,put_T050_s040_r001_q000,120
0.0,0,put,put_T050_s040_r001_q003,120
0.0,0,put,put_T050_s040_r001_q006,120
0.0,0,put,put_T050_s040_r001_q010,120
0.0,0,put,put_T050_s040_r010_q000,120
0.0,0,put,put_T050_s040_r010_q003,120
0.0,0,put,put_T050_s040_r010_q006,120
0.0,0,put,put_T050_s040_r010_q010,120
0.0,0,put,put_T050_s060_r001_q000,120
0.0,0,put,put_T050_s060_r001_q003,120
0.0,0,put,put_T050_s060_r001_q006,120
0.0,0,put,put_T050_s060_r010_q000,120
0.0,0,put,put_T050_s060_r010_q003,120
0.0,0,put,put_T050_s060_r010_q006,120
0.0,0,put,put_T100_s020_r001_q000,120
0.0,0,put,put_T100_s020_r001_q003,120
0.0,0,put,put_T100_s020_r001_q006,120
0.0,0,put,put_T100_s020_r001_q010,120
0.0,0,put,put_T100_s020_r005_q000,120
0.0,0,put,put_T100_s020_r005_q003,120
0.0,0,put,put_T100_s020_r005_q006,120
0.0,0,put,put_T100_s020_r005_q010,120
0.0,0,put,put_T100_s020_r010_q000,120
0.0,0,put,put_T100_s020_r010_q003,120
0.0,0,put,put_T100_s020_r010_q006,120
0.0,0,put,put_T100_s020_r010_q010,120
0.0,0,put,put_T100_s040_r001_q000,120
0.0,0,put,put_T100_s040_r001_q003,120
0.0,0,put,put_T100_s040_r001_q006,120
0.0,0,put,put_T100_s040_r001_q010,120
0.0,0,put,put_T100_s040_r005_q000,120
0.0,0,put,put_T100_s040_r005_q003,120
0.0,0,put,put_T100_s040_r005_q006,120
0.0,0,put,put_T100_s040_r005_q010,120
0.0,0,put,put_T100_s040_r010_q000,120
0.0,0,put,put_T100_s040_r010_q003,120
0.0,0,put,put_T100_s040_r010_q006,120
0.0,0,put,put_T100_s040_r010_q010,120
0.0,0,put,put_T100_s060_r001_q000,120
0.0,0,put,put_T100_s060_r001_q003,120
0.0,0,put,put_T100_s060_r001_q006,120
0.0,0,put,put_T100_s060_r005_q000,120
0.0,0,put,put_T100_s060_r005_q003,120
0.0,0,put,put_T100_s060_r005_q006,120
0.0,0,put,put_T100_s060_r010_q000,120
0.0,0,put,put_T100_s060_r010_q003,120
0.0,0,put,put_T100_s060_r010_q006,120
0.0,0,put,put_T200_s020_r001_q000,120
0.0,0,put,put_T200_s020_r001_q003,120
0.0,0,put,put_T200_s020_r001_q006,120
0.0,0,put,put_T200_s020_r001_q010,120
0.0,0,put,put_T200_s020_r005_q000,120
0.0,0,put,put_T200_s020_r005_q003,120
0.0,0,put,put_T200_s020_r005_q006,120
0.0,0,put,put_T200_s020_r005_q010,120
0.0,0,put,put_T200_s020_r010_q000,120
0.0,0,put,put_T200_s020_r010_q003,120
0.0,0,put,put_T200_s020_r010_q006,120
0.0,0,put,put_T200_s020_r010_q010,120
0.0,0,put,put_T200_s040_r001_q000,120
0.0,0,put,put_T200_s040_r001_q003,120
0.0,0,put,put_T200_s040_r001_q006,120
0.0,0,put,put_T200_s040_r001_q010,120
0.0,0,put,put_T200_s040_r005_q000,120
0.0,0,put,put_T200_s040_r005_q003,120
0.0,0,put,put_T200_s040_r005_q006,120
0.0,0,put,put_T200_s040_r005_q010,120
0.0,0,put,put_T200_s060_r001_q000,120
0.0,0,put,put_T200_s060_r001_q003,120
0.0,0,put,put_T200_s060_r001_q006,120
0.0,0,put,put_T200_s060_r005_q000,120
0.0,0,put,put_T200_s060_r005_q003,120
0.0,0,put,put_T200_s060_r005_q006,120
0.0,0,put,put_T200_s060_r010_q000,120
0.0,0,put,put_T200_s060_r010_q003,120
0.0,0,put,put_T200_s060_r010_q006,120
