actual_bin_count,arm,artifact_bytes,bin_count,construction_seconds,dimension,failure_reason,option_type,path,status,stored_dual_generators,stored_primal_modes
1,U,9851,1,0.7552686249837279,4,,put,02_basis/U/put/global/basis_04.npz,COMPLETE,4,4
1,U,13678,1,0.7743160829413682,8,,put,02_basis/U/put/global/basis_08.npz,COMPLETE,8,8
1,U,17524,1,0.7937327079707757,12,,put,02_basis/U/put/global/basis_12.npz,COMPLETE,12,12
1,U,21307,1,0.812588540953584,16,,put,02_basis/U/put/global/basis_16.npz,COMPLETE,16,16
1,U,29005,1,0.8324872079538181,24,,put,02_basis/U/put/global/basis_24.npz,COMPLETE,24,24
1,U,10664,1,0.41901700000744313,4,,call,02_basis/U/call/global/basis_04.npz,COMPLETE,4,4
1,U,15003,1,0.43865470797754824,8,,call,02_basis/U/call/global/basis_08.npz,COMPLETE,8,8
1,U,18963,1,0.45841679093427956,12,,call,02_basis/U/call/global/basis_12.npz,COMPLETE,12,12
1,U,22895,1,0.4777402909239754,16,,call,02_basis/U/call/global/basis_16.npz,COMPLETE,16,16
1,U,31331,1,0.49698079098016024,24,,call,02_basis/U/call/global/basis_24.npz,COMPLETE,24,24
1,U,39233,1,0.5177514159586281,32,,call,02_basis/U/call/global/basis_32.npz,COMPLETE,32,32
2,L,16230,2,0.5798121669795364,4,,put,02_basis/L/put/k2/basis_04.npz,COMPLETE,8,8
2,L,23846,2,0.5991028340067714,8,,put,02_basis/L/put/k2/basis_08.npz,COMPLETE,16,16
2,L,31416,2,0.6185512919910252,12,,put,02_basis/L/put/k2/basis_12.npz,COMPLETE,24,24
4,L,28395,4,0.6413194579072297,4,,put,02_basis/L/put/k4/basis_04.npz,COMPLETE,16,16
4,L,43478,4,0.6613703329348937,8,,put,02_basis/L/put/k4/basis_08.npz,COMPLETE,32,32
8,L,47957,8,0.4748930420028046,4,,put,02_basis/L/put/k8/basis_04.npz,COMPLETE,32,32
3,L,25506,2,0.46169145801104605,4,,call,02_basis/L/call/k2/basis_04.npz,COMPLETE,8,12
3,L,39011,2,0.48155358294025064,8,,call,02_basis/L/call/k2/basis_08.npz,COMPLETE,16,24
3,L,52555,2,0.5011144579621032,12,,call,02_basis/L/call/k2/basis_12.npz,COMPLETE,24,36
3,L,66482,2,0.520833499962464,16,,call,02_basis/L/call/k2/basis_16.npz,COMPLETE,32,48
5,L,39813,4,0.42387941700872034,4,,call,02_basis/L/call/k4/basis_04.npz,COMPLETE,16,20
5,L,63887,4,0.4434724999591708,8,,call,02_basis/L/call/k4/basis_08.npz,COMPLETE,32,40
9,L,64774,8,0.3437870830530301,4,,call,02_basis/L/call/k8/basis_04.npz,COMPLETE,32,36
