arm,bin_label,cone_gram_condition_number,iteration,kind,leading_residual_eigenvalue,mean_squared_projection_error,option_type,original_w_norm,regime_id,selection_score,time_index
U,global,,1,primal,266.2400667817703,2.219798398536898,call,,call_T025_s020_r001_q010,,
U,global,,2,primal,10.550479617340335,0.09161453113341661,call,,call_T200_s060_r005_q006,,
U,global,,3,primal,1.6660521518964673,0.01485884708518201,call,,call_T200_s040_r001_q010,,
U,global,,4,primal,0.9662650430909173,0.008438607198769606,call,,call_T200_s020_r010_q003,,
U,global,,5,primal,0.3818943884408504,0.0033118785831437645,call,,call_T200_s020_r001_q010,,
U,global,,6,primal,0.18491372914079882,0.0016929057143839836,call,,call_T200_s060_r010_q006,,
U,global,,7,primal,0.10708344108386857,0.0010264644253465886,call,,call_T200_s040_r005_q006,,
U,global,,8,primal,0.05008489914214093,0.0007351554989896999,call,,call_T025_s020_r010_q003,,
U,global,,9,primal,0.07106193714373842,0.00063632064387604,call,,call_T200_s060_r010_q003,,
U,global,,10,primal,0.05882412107018222,0.0005307848598222124,call,,call_T200_s020_r001_q006,,
U,global,,11,primal,0.030286797372259665,0.0002839164869776016,call,,call_T025_s020_r010_q003,,
U,global,,12,primal,0.025640614729850606,0.00025523170242391555,call,,call_T200_s040_r005_q010,,
U,global,,13,primal,0.014986026375395685,0.00018719686811020282,call,,call_T200_s060_r001_q006,,
U,global,,14,primal,0.01453872048448367,0.0001445125110622151,call,,call_T200_s020_r010_q010,,
U,global,,15,primal,0.0075627407074970125,7.647786188376507e-05,call,,call_T050_s020_r001_q010,,
U,global,,16,primal,0.007118716365429602,6.541533540082393e-05,call,,call_T100_s020_r010_q006,,
U,global,,17,primal,0.003678421604672859,5.097946966841257e-05,call,,call_T200_s060_r001_q006,,
U,global,,18,primal,0.0027727935305536444,3.552836089552591e-05,call,,call_T200_s060_r005_q003,,
U,global,,19,primal,0.002553139682860517,2.9696271049587755e-05,call,,call_T100_s040_r001_q010,,
U,global,,20,primal,0.0019285217415073179,2.3221397973471893e-05,call,,call_T200_s040_r001_q006,,
U,global,,21,primal,0.001908116909635328,1.872504033030298e-05,call,,call_T100_s020_r001_q010,,
U,global,,22,primal,0.0007165594800205553,1.577003148495552e-05,call,,call_T200_s060_r001_q006,,
U,global,,23,primal,0.0011917432746632983,1.307259464985444e-05,call,,call_T200_s020_r005_q010,,
U,global,,24,primal,0.001035117477154616,9.979433954894941e-06,call,,call_T200_s020_r010_q006,,
U,global,,25,primal,0.0005806434932727768,8.763726695850312e-06,call,,call_T200_s060_r001_q006,,
U,global,,26,primal,0.0005463146680818088,7.816749927648988e-06,call,,call_T200_s060_r010_q006,,
U,global,,27,primal,0.0005058079404590082,7.186961444975252e-06,call,,call_T200_s040_r001_q010,,
U,global,,28,primal,0.0004917093970944821,5.857198217099994e-06,call,,call_T100_s020_r010_q010,,
U,global,,29,primal,0.0006404154025617503,5.4841236791780545e-06,call,,call_T025_s020_r001_q010,,
U,global,,30,primal,0.0003109767224290356,4.751656191925857e-06,call,,call_T200_s060_r005_q006,,
U,global,,31,primal,0.0002463125469517509,3.573485505070639e-06,call,,call_T200_s040_r005_q006,,
U,global,,32,primal,0.00019902435903644831,2.804300654746239e-06,call,,call_T200_s040_r005_q010,,
U,global,1.0,1,dual,,,call,0.07606944896612935,call_T200_s020_r001_q010,0.07606944896612935,1
