artifact_bytes,artifact_path,family_svd_seconds,modes,option_type,protocol_hash,retained_energy,singular_value
542635,01_pod_basis/put/premium_basis_04.npz,0.2732278329785913,4,put,a4128b3088cbf6bb6a5e67eb1105c50c52cc27e37c59dd2944e1c054aeefc159,0.9985169033856249,1.3152107220758806
974646,01_pod_basis/put/premium_basis_08.npz,0.29493279196321964,8,put,a4128b3088cbf6bb6a5e67eb1105c50c52cc27e37c59dd2944e1c054aeefc159,0.9998864187314991,0.34785724510513405
1406967,01_pod_basis/put/premium_basis_12.npz,0.32618787500541657,12,put,a4128b3088cbf6bb6a5e67eb1105c50c52cc27e37c59dd2944e1c054aeefc159,0.9999728937836192,0.09537752717094375
1839563,01_pod_basis/put/premium_basis_16.npz,0.3672602919396013,16,put,a4128b3088cbf6bb6a5e67eb1105c50c52cc27e37c59dd2944e1c054aeefc159,0.999992834125587,0.044897533342135046
2704983,01_pod_basis/put/premium_basis_24.npz,0.4274717919761315,24,put,a4128b3088cbf6bb6a5e67eb1105c50c52cc27e37c59dd2944e1c054aeefc159,0.9999988354659113,0.013500516009399183
3570943,01_pod_basis/put/premium_basis_32.npz,0.5061839999398217,32,put,a4128b3088cbf6bb6a5e67eb1105c50c52cc27e37c59dd2944e1c054aeefc159,0.9999996686823885,0.006537324183684782
546179,01_pod_basis/call/premium_basis_04.npz,0.10952350008301437,4,call,a4128b3088cbf6bb6a5e67eb1105c50c52cc27e37c59dd2944e1c054aeefc159,0.9977965771927033,1.5522795802647587
982010,01_pod_basis/call/premium_basis_08.npz,0.1316377919865772,8,call,a4128b3088cbf6bb6a5e67eb1105c50c52cc27e37c59dd2944e1c054aeefc159,0.9997385771318716,0.35336840015213283
1418392,01_pod_basis/call/premium_basis_12.npz,0.1660528340144083,12,call,a4128b3088cbf6bb6a5e67eb1105c50c52cc27e37c59dd2944e1c054aeefc159,0.9999408004317679,0.11829650738517002
1854525,01_pod_basis/call/premium_basis_16.npz,0.20809400000143796,16,call,a4128b3088cbf6bb6a5e67eb1105c50c52cc27e37c59dd2944e1c054aeefc159,0.9999857789012236,0.0581123522223553
2727139,01_pod_basis/call/premium_basis_24.npz,0.2691636250820011,24,call,a4128b3088cbf6bb6a5e67eb1105c50c52cc27e37c59dd2944e1c054aeefc159,0.9999979853685643,0.015793949034316225
3600015,01_pod_basis/call/premium_basis_32.npz,0.35107895906548947,32,call,a4128b3088cbf6bb6a5e67eb1105c50c52cc27e37c59dd2944e1c054aeefc159,0.9999995599443485,0.006713204262008519
