regime_id,option_type,T,sigma,r,q,genuine_early_exercise,policy_converged,projected_lu_converged,stage_count,structural_checks_passed,max_normalized_lcp_residual,max_normalized_obstacle_violation,max_normalized_equation_violation,max_normalized_complementarity,policy_max_normalized_lcp_residual,full_trajectory_price_max_difference,full_trajectory_price_mae,full_trajectory_price_rmse,final_query_price_max_difference,final_query_price_rmse,price_max_difference_gate,price_agreement_passed,policy_boundary_found_rows,projected_lu_boundary_found_rows,boundary_found_status_mismatch_rows,boundary_max_abs_difference,boundary_rmse_difference,boundary_max_difference_gate,boundary_agreement_passed,boundary_financial_structure_passed,stable_query_node_count,delta_max_difference,delta_rmse_difference,delta_median_abs_difference,delta_p95_abs_difference,delta_max_difference_gate,delta_reference_fraction_bound,delta_price_operator_bound,delta_agreement_passed,gamma_max_difference,gamma_rmse_difference,gamma_median_abs_difference,gamma_p95_abs_difference,gamma_max_difference_gate,gamma_reference_fraction_bound,gamma_price_operator_bound,gamma_agreement_passed,exact_domain_boundary_max_difference,financial_structure_passed,all_correctness_gates_passed,failure_reasons,candidate_exception
put_T100_s020_r005_q003,put,1.0,0.2,0.05,0.03,True,True,True,1918,True,2.636779683484747e-16,0.0,2.636779683484747e-16,1.7271528033536404e-17,2.636779683484747e-16,3.0531133177191805e-16,1.2928075883667122e-17,3.3494123602273716e-17,1.8041124150158794e-16,9.467628504278281e-17,1e-09,True,959,959,0,8.237854842718662e-14,8.45665824162068e-15,0.0038156172434226088,True,True,36,1.3988810110276972e-14,5.007839251852558e-15,2.609024107869118e-15,1.0269562977782698e-14,6.492813293395694e-07,9.794726011896904e-07,6.492813293395694e-07,True,1.1587619752617684e-11,3.802471002149791e-12,1.4923617897011354e-12,8.027911668762044e-12,7.639519607605116e-05,7.639519607605116e-05,0.0016738531448473987,True,0.0,True,True,,
call_T100_s020_r005_q006,call,1.0,0.2,0.05,0.06,True,True,True,1918,True,1.1535264656128807e-16,0.0,1.1535264656128807e-16,2.007037532536574e-18,1.032036984829801e-16,5.551115123125783e-16,2.5785021572461648e-17,6.938943519758801e-17,4.996003610813204e-16,3.048990017580787e-16,1e-09,True,959,959,0,2.673417043297377e-13,1.8358142284514702e-14,0.0053441827556668375,True,True,36,1.4765966227514582e-14,5.0450525432825375e-15,1.7486012637846216e-15,1.1629586182948515e-14,6.492813293395694e-07,1.1626327945712946e-06,6.492813293395694e-07,True,1.4551027049947152e-11,4.720612115566909e-12,1.4628298572461063e-12,1.0025480445818857e-11,7.210994846906793e-06,7.210994846906793e-06,0.0016738531448473987,True,0.0,True,True,,
call_T100_s020_r005_q000,call,1.0,0.2,0.05,0.0,False,True,True,1918,True,4.4181066217341573e-16,0.0,4.4181066217341573e-16,5.238688546299096e-18,4.082401905811358e-16,6.217248937900877e-15,1.982451224765098e-16,4.554256595827126e-16,3.885780586188048e-16,1.534726546639037e-16,1e-09,True,0,0,0,0.0,0.0,0.0014770108162540652,True,True,36,2.1316282072803006e-14,7.592333805830962e-15,4.107825191113079e-15,1.6903145549918008e-14,6.492813293395694e-07,8.831742971393552e-07,6.492813293395694e-07,True,9.524381283654293e-12,4.187120034634699e-12,1.1192158311246203e-12,8.544609464422592e-12,1.0836180376982974e-05,1.0836180376982974e-05,0.0016738531448473987,True,0.0,True,True,,
put_T025_s020_r001_q000,put,0.25,0.2,0.01,0.0,True,True,True,1918,True,8.326672684688674e-17,0.0,8.326672684688674e-17,1.9639360906733863e-18,8.326672684688674e-17,1.6653345369377348e-16,4.0748876921142365e-18,1.3397072033851124e-17,1.1102230246251565e-16,4.549520185320383e-17,1e-09,True,957,957,0,1.3289369604763124e-13,1.4117204599396363e-14,0.0031648173489378095,True,True,32,1.0658141036401503e-14,2.7092221953583916e-15,5.273559366969494e-16,4.55191440096314e-15,6.492813293395694e-07,3.284521701241161e-06,6.492813293395694e-07,True,1.765654289442864e-11,4.683310932386664e-12,1.1717293801893902e-12,9.898992736623308e-12,2.1778760119772755e-05,2.1778760119772755e-05,0.0016738531448473987,True,0.0,True,True,,
call_T025_s020_r001_q000,call,0.25,0.2,0.01,0.0,False,True,True,1918,True,4.461124618532934e-16,0.0,4.461124618532934e-16,2.4663817172033056e-19,3.004510977129813e-16,8.881784197001252e-15,3.164921607500573e-16,8.425661916221739e-16,1.942890293094024e-16,7.779307360882367e-17,1e-09,True,0,0,0,0.0,0.0,0.0014770108162540652,True,True,36,1.0547118733938987e-14,3.648342618079231e-15,3.469446951953614e-16,7.716050021144838e-15,6.492813293395694e-07,3.24273229224889e-06,6.492813293395694e-07,True,1.3763434836278066e-11,4.286824317113826e-12,1.7745804825608502e-12,8.406775275915379e-12,1.849984843751429e-05,1.849984843751429e-05,0.0016738531448473987,True,0.0,True,True,,
put_T200_s060_r010_q010,put,2.0,0.6,0.1,0.1,True,True,True,1918,True,1.5654144647214707e-14,0.0,1.5654144647214707e-14,4.1104600336321256e-15,1.3988810110276972e-14,7.993605777301127e-15,6.524113104176829e-16,1.2905316832625285e-15,4.3021142204224816e-15,3.452350569821731e-15,1e-09,True,960,960,0,6.933342788784103e-13,3.7909369590582363e-14,0.009633964699311437,True,True,36,7.105427357601002e-14,2.5124539776546314e-14,1.3988810110276972e-14,4.6254666763445584e-14,6.492813293395694e-07,6.79209278309223e-07,6.492813293395694e-07,True,3.503186629671973e-11,1.2668662363785214e-11,6.451172929189397e-12,2.462158255056579e-11,6.633790401666674e-07,6.633790401666674e-07,0.0016738531448473987,True,0.0,True,True,,
call_T200_s060_r010_q010,call,2.0,0.6,0.1,0.1,True,True,True,1918,True,2.2038190343278354e-15,0.0,2.2038190343278354e-15,1.8195478434243082e-16,1.682618692677685e-15,1.0547118733938987e-14,7.048705464766698e-16,1.2882558522943214e-15,2.7200464103316335e-15,1.4077881622108076e-15,1e-09,True,960,960,0,5.2087223423313844e-12,2.6222218556383163e-13,0.02665830784712142,True,True,36,1.2967404927621828e-13,3.950243278314905e-14,1.73749903353837e-14,9.20652443170411e-14,3.3683555772379137e-07,3.3683555772379137e-07,6.492813293395694e-07,True,4.247718843330972e-11,1.3540342315187094e-11,7.1709027604782705e-12,2.927763587123877e-11,1.3915659047847306e-07,1.3915659047847306e-07,0.0016738531448473987,True,0.0,True,True,,
put_T200_s020_r001_q010,put,2.0,0.2,0.01,0.1,True,True,True,1918,False,1.4710455076283324e-15,0.0,1.4710455076283324e-15,2.6695568680031034e-16,1.4710455076283324e-15,4.6629367034256575e-15,1.1182927192173934e-16,2.655276520875969e-16,4.996003610813204e-16,2.365225466610913e-16,1e-09,True,959,959,0,5.1903703557343306e-11,2.04530683339716e-12,0.013491720766483195,True,True,36,6.550315845288424e-14,1.678156822373785e-14,8.326672684688674e-15,2.5424107263916085e-14,4.278041210059591e-07,4.278041210059591e-07,6.492813293395694e-07,True,2.843680846353891e-11,1.029456159118258e-11,3.637312673276938e-12,2.5392049574080033e-11,1.242692982861282e-06,1.242692982861282e-06,0.0016738531448473987,True,0.0,True,False,structural_or_pivot,
call_T200_s020_r010_q010,call,2.0,0.2,0.1,0.1,True,True,True,1918,True,2.456896853607138e-16,0.0,2.456896853607138e-16,5.6889080385354005e-18,2.205073585678867e-16,7.077671781985373e-16,3.4587621972137036e-17,8.620833596987398e-17,4.440892098500626e-16,1.5105934665757386e-16,1e-09,True,959,959,0,4.689582056016661e-13,2.766514342972273e-14,0.006344254832016727,True,True,36,2.8310687127941492e-14,9.464508843220271e-15,3.608224830031759e-15,2.245426067304379e-14,4.3397476799378336e-07,4.3397476799378336e-07,6.492813293395694e-07,True,1.8187229500199464e-11,6.0907886348410095e-12,2.974398505273257e-12,1.4759360400518062e-11,3.5611033514459934e-06,3.5611033514459934e-06,0.0016738531448473987,True,0.0,True,True,,
put_T050_s060_r005_q003,put,0.5,0.6,0.05,0.03,True,True,True,1918,True,2.3037127760972e-15,0.0,2.3037127760972e-15,3.545045295119385e-16,2.3314683517128287e-15,2.0261570199409107e-15,1.3816268031728747e-16,3.1029890096476026e-16,1.3877787807814457e-15,8.026953736597401e-16,1e-09,True,960,960,0,5.226929999935237e-13,4.7433212437075114e-14,0.008089536563847366,True,True,36,4.135580766728708e-14,1.4758016532364545e-14,7.105427357601002e-15,2.8158031462055533e-14,4.5578098074039455e-07,4.5578098074039455e-07,6.492813293395694e-07,True,1.9613755064540328e-11,6.950241388886122e-12,4.901412609115141e-12,1.2815415395550644e-11,1.356150721876226e-06,1.356150721876226e-06,0.0016738531448473987,True,0.0,True,True,,
