regime_id,method,value_grid_sha256,final_values_sha256,spot_grid_sha256,tau_grid_sha256
put_T100_s020_r005_q003,policy_iteration,d4326b4b9c96c5c15db9b2e995d02f90df2c1133f7794ce4b62bc30286f47e17,9548cc1b6d4c4a9919d1cc72268ebb7b7c0ffdb3fdf108a6a3105c9235b7522a,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bec55c2ac141ea43376875acfd64fa0f109739459fcbd1afa59c08d8e7b9a036
put_T100_s020_r005_q003,projected_lu_single,a38dcf97fd561e1ecd43be96a90e50bda2bd3a3cbb9a00e1c0b60169023604ad,950b2ff4530466096adea0e248234e1c339a26f3c9e5a46377a1d22c0ed250f8,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bec55c2ac141ea43376875acfd64fa0f109739459fcbd1afa59c08d8e7b9a036
put_T100_s020_r005_q003,projected_lu_minus_policy,b33768f516fa88cb8319122e56f60ea7a169af612caed995240e349dd606d6e7,bd5d11d24afd8fe6431687e2c522b5c23563e96f43dd2e6e327a486ed9147ba4,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bec55c2ac141ea43376875acfd64fa0f109739459fcbd1afa59c08d8e7b9a036
call_T100_s020_r005_q006,policy_iteration,dfc34b82c4bf3a9d7116dfcdddf14220381a6c516e06b023f9d4de60e5fb0d54,a1b743f15ddf13ba1b9147bfc0090a7fd92cb0d00ede394e73bec2bc786c742f,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bec55c2ac141ea43376875acfd64fa0f109739459fcbd1afa59c08d8e7b9a036
call_T100_s020_r005_q006,projected_lu_single,bba921b2f4d2fc9dd946b9422da69d930b834bc28ef2f43b271fd5dc5c3adfae,e7437fcd05e28d9d023ce157f6591bad410b767cb91a5656b6c7df2a11877ece,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bec55c2ac141ea43376875acfd64fa0f109739459fcbd1afa59c08d8e7b9a036
call_T100_s020_r005_q006,projected_lu_minus_policy,bac9a593e10ab2b6d212e30271a18a1093f6dd87a841609965067ed7db468e97,f1498093937c751a92f74a6211cc5ec513576a187f37d431917e99be46db442c,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bec55c2ac141ea43376875acfd64fa0f109739459fcbd1afa59c08d8e7b9a036
call_T100_s020_r005_q000,policy_iteration,b736119b8c6ff2b057b6384ba44025d3082a2636710ad66b0bc538427cf7c939,d71026acb3d893cf40a0124209cc48c5619601bbeedc7541838c60aa89410a48,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bec55c2ac141ea43376875acfd64fa0f109739459fcbd1afa59c08d8e7b9a036
call_T100_s020_r005_q000,projected_lu_single,1e2925da999d1683bf9d1e9a029201a87884bfc90c44c7d25e39b68236a8a4c6,7409e9f2abeb3ab78708a34d6006a62aaf5f95ea18d0b5f648324fa4737211ae,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bec55c2ac141ea43376875acfd64fa0f109739459fcbd1afa59c08d8e7b9a036
call_T100_s020_r005_q000,projected_lu_minus_policy,2e7a062c49290c27c9c6807ef2bf5161fe9b0e4b6ab8d93e6d985738ea9cbe4a,90007801282db373bede0025566c61f3bb26419f392d58958e527091db27ea96,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,bec55c2ac141ea43376875acfd64fa0f109739459fcbd1afa59c08d8e7b9a036
put_T025_s020_r001_q000,policy_iteration,c3e2e75fb4060eaa1dd416db16787e961cdc0a9516843e0653269f7b56b0f985,e8b01b5fbc76f556a046c31d5a6b334db6c203e0d4049950d2d5c6fbc2f520fd,50af58854f516b747c85c47911680370a4898a064eaa4e2ea24bad71e313e9ca,3ca6e2aaabf4c3ddf91e29fc72fb751cbea019bdc36d9e47e81e830e9e93a0f8
