regime_id,source_grid,source_M,source_reference_M,value_max_error,delta_max_error,gamma_max_error,source_file
put_T100_s020_r005_q003,sinh_strike_concentrated,480,960,1.285241080201116e-06,9.794726011896904e-06,0.0007639519607605116,results/07_method_extensions/03_greek_audit/spatial_convergence.csv
call_T100_s020_r005_q006,sinh_strike_concentrated,480,960,1.2384339379001297e-06,1.1626327945712944e-05,7.210994846906793e-05,results/07_method_extensions/03_greek_audit/spatial_convergence.csv
call_T100_s020_r005_q000,sinh_strike_concentrated,480,960,1.2123169721434124e-06,8.831742971393552e-06,0.00010836180376982973,results/07_method_extensions/03_greek_audit/spatial_convergence.csv
put_T025_s020_r001_q000,sinh_strike_concentrated,480,960,1.2596443699774973e-06,3.284521701241161e-05,0.00021778760119772755,results/07_method_extensions/03_greek_audit/spatial_convergence.csv
call_T025_s020_r001_q000,sinh_strike_concentrated,480,960,1.174279711475823e-06,3.24273229224889e-05,0.00018499848437514288,results/07_method_extensions/03_greek_audit/spatial_convergence.csv
put_T200_s060_r010_q010,sinh_strike_concentrated,480,960,2.534608169096897e-06,6.7920927830922295e-06,6.633790401666673e-06,results/07_method_extensions/03_greek_audit/spatial_convergence.csv
call_T200_s060_r010_q010,sinh_strike_concentrated,480,960,2.8095670794869854e-06,3.3683555772379137e-06,1.3915659047847306e-06,results/07_method_extensions/03_greek_audit/spatial_convergence.csv
put_T200_s020_r001_q010,sinh_strike_concentrated,480,960,1.2983990290704739e-06,4.278041210059591e-06,1.242692982861282e-05,results/07_method_extensions/03_greek_audit/spatial_convergence.csv
call_T200_s020_r010_q010,sinh_strike_concentrated,480,960,1.2735177826461719e-06,4.339747679937833e-06,3.561103351445993e-05,results/07_method_extensions/03_greek_audit/spatial_convergence.csv
put_T050_s060_r005_q003,sinh_strike_concentrated,480,960,2.190944254090721e-06,4.557809807403945e-06,1.3561507218762259e-05,results/07_method_extensions/03_greek_audit/spatial_convergence.csv
call_T050_s060_r005_q010,sinh_strike_concentrated,480,960,2.1229644134868053e-06,4.200565802636724e-06,1.6223903766876546e-05,results/07_method_extensions/03_greek_audit/spatial_convergence.csv
call_T100_s060_r001_q006,sinh_strike_concentrated,480,960,2.702053900571766e-06,3.6357118204932704e-06,6.350365353346987e-06,results/07_method_extensions/03_greek_audit/spatial_convergence.csv
