regime_id,option_type,q,M,N,converged,price_max_error,price_rmse,price_median_abs_error,price_p95_abs_error,price_gate,price_pass,full_price_max_error,full_price_rmse,delta_max_error,delta_rmse,delta_median_abs_error,delta_p95_abs_error,delta_gate,delta_pass,gamma_max_error,gamma_rmse,gamma_median_abs_error,gamma_p95_abs_error,gamma_gate,gamma_pass,candidate_boundary_found,reference_boundary_found,candidate_boundary_spot,reference_boundary_spot,boundary_abs_error,boundary_gate,boundary_pass,boundary_path_both_found_rows,boundary_path_max_abs_error,boundary_path_rmse,candidate_false_boundary_rows,reference_false_boundary_rows,candidate_raw_threshold_false_boundary_rows,reference_raw_threshold_false_boundary_rows,q0_control,candidate_bsm_price_max_error,reference_bsm_price_max_error,q0_bsm_pass,max_obstacle_violation,max_normalized_obstacle_violation,max_normalized_equation_violation,max_normalized_complementarity,max_normalized_lcp_residual,vi_pass,maximum_stage_iterations,total_penalty_iterations,regime_pass
put_T100_s020_r005_q003,put,0.03,480,960,True,5.471925973249414e-06,3.185152815223201e-06,2.7055061124700575e-06,4.932272242935687e-06,1.606551350251395e-06,False,5.667320067959114e-06,1.183702232066582e-06,2.1102238584203015e-05,1.1143444924490327e-05,8.550665802256607e-06,1.888965640681195e-05,1.224340751487113e-05,False,0.0006329171728758354,0.00015141165585634583,1.6891720187484083e-05,0.0003552089845467732,0.0009549399509506395,True,True,True,0.7601683491697914,0.7600504169456271,0.00011793222416422999,0.004935313306039357,True,959,0.0055313389448456984,0.0014875423149389726,0,0,0,0,False,nan,nan,True,1.0380474257942751e-11,1.0380474257942751e-11,1.1102230246251565e-16,1.0775359618487366e-15,1.0380474257942751e-11,True,2,2004,False
call_T100_s020_r005_q006,call,0.06,480,960,True,6.062442928396472e-06,3.5977935934694736e-06,3.2518595419542273e-06,5.582852573866176e-06,1.548042422375162e-06,False,5.916085124624271e-06,1.2404818701154708e-06,1.8523288251887093e-05,1.1282403458041671e-05,1.1270285087655596e-05,1.751918367841332e-05,1.453290993214118e-05,False,0.00014403372604232523,8.261262436714456e-05,4.527033748702447e-05,0.0001379460234504637,9.013743558633491e-05,False,True,True,1.3468118748624924,1.3445327884269964,0.002279086435496014,0.005268848164403872,True,959,0.005132766544958978,0.001489645635895188,0,0,0,0,False,nan,nan,True,3.835820550079916e-11,1.3210720373736503e-11,9.382632399528662e-17,1.7091998069795828e-15,1.3210720373736503e-11,True,2,2039,False
call_T100_s020_r005_q000,call,0.0,480,960,True,6.921260846476374e-06,4.616362961310462e-06,3.959652744200265e-06,6.765166226973748e-06,1.5153962151792655e-06,False,7.890089883211965e-06,1.6159916738060213e-06,3.003119442690494e-05,1.6430969739068726e-05,1.3478759724294687e-05,2.7584205965353048e-05,1.103967871424194e-05,False,0.00021942602461644256,0.00011087421302734366,5.516699282681614e-05,0.0002064728893134138,0.00013545225471228717,False,False,False,nan,nan,0.0,0.004935313306039468,True,0,nan,nan,0,0,4,3,True,6.00189936315193e-06,1.6057667977381618e-06,False,0.0,0.0,5.8942030229105635e-16,1.0669653380681562e-17,5.8942030229105635e-16,True,1,1918,False
put_T025_s020_r001_q000,put,0.0,480,960,True,1.1260249726856297e-05,6.3590202439671374e-06,5.435957117071177e-06,9.897263615898586e-06,1.5745554624718716e-06,False,1.0914555765212386e-05,1.8894899524175468e-06,0.00014484269964487595,8.712785748052213e-05,7.116117512424858e-05,0.00013688361470047262,4.105652126551451e-05,False,0.001270950929931125,0.0006268939694160728,0.0003568875893054102,0.0011829003587541242,0.00027223450149715944,False,True,True,0.8097545137865081,0.8095226129362927,0.00023190085021540519,0.004935313306039246,True,957,0.005755495505264996,0.0016457318924861621,0,0,0,0,False,nan,nan,True,5.209166431541234e-13,5.209166431541234e-13,8.326672684688674e-17,2.7116944392079423e-18,5.209166431541234e-13,True,2,1986,False
call_T025_s020_r001_q000,call,0.0,480,960,True,1.3013388736236864e-05,7.30084738836e-06,6.021705659386978e-06,1.1778224543370491e-05,1.4678496393447787e-06,False,1.2347980773742828e-05,2.2588101929206414e-06,0.00014824241485607292,8.866004630206931e-05,7.870539572396237e-05,0.00013955575136655185,4.0534153653111124e-05,False,0.0013358753343899465,0.0006281777169850199,0.00034835476460171044,0.0012688889706102824,0.0002312481054689286,False,False,False,nan,nan,0.0,0.004935313306039468,True,0,nan,nan,0,0,18,16,True,1.1597932076539558e-05,1.5614991025481029e-06,False,0.0,0.0,3.0588797993593897e-16,2.6120583731329753e-19,3.0588797993593897e-16,True,1,1918,False
put_T200_s060_r010_q010,put,0.1,480,960,True,2.6868340758934295e-06,2.0273927718888446e-06,2.0394596436101864e-06,2.5384323813909537e-06,3.168260211371121e-06,True,2.6855924505686524e-05,4.6703241571304366e-06,2.6157754401956446e-06,1.656167117063635e-06,1.490474666521191e-06,2.430179661894183e-06,8.490115978865287e-06,True,7.552454304615708e-06,4.683864119667445e-06,4.50163558413097e-06,7.0593399948970514e-06,8.29223800208334e-06,True,True,True,0.3575721134023755,0.36028122511079785,0.0027091117084223626,0.009494402954070669,True,960,0.005715108801076341,0.002119228384926738,0,0,0,0,False,nan,nan,True,4.143962950564628e-11,4.143962950564628e-11,2.220446049250313e-15,1.7172348050344413e-14,4.143962950564628e-11,True,2,2148,True
call_T200_s060_r010_q010,call,0.1,480,960,True,3.8013915279466737e-06,3.137805581024677e-06,3.138014367173869e-06,3.664478411172234e-06,3.5119588493587317e-06,False,1.5613827910820888e-05,3.104937410586656e-06,1.4428624711682048e-06,8.485295320671028e-07,7.359922702954158e-07,1.3316906573024312e-06,4.210444471547392e-06,True,3.3374014878351232e-06,1.782526280889916e-06,1.2784132265852843e-06,3.15180876979404e-06,1.7394573809809133e-06,False,True,True,2.7801226150774068,2.7869973545396096,0.00687473946220285,0.03789265366615746,True,960,0.02384783904094334,0.005820249840548907,0,0,0,0,False,nan,nan,True,1.209188305040243e-10,4.164493194747142e-11,6.320090831028715e-15,1.255841582798791e-14,4.164493194747142e-11,True,2,2383,False
put_T200_s020_r001_q010,put,0.1,480,960,True,3.1772586671363623e-06,2.0972297941561805e-06,2.0400163372180646e-06,2.9221789335856507e-06,1.6229987863380924e-06,False,0.00012918313829979322,8.371870876204936e-06,1.0634710547297033e-05,8.323297179762747e-06,7.727066113877301e-06,1.047099408871266e-05,5.347551512574489e-06,False,2.5300384019710798e-05,1.1732540444445619e-05,6.5983501879030015e-06,2.4569948102959316e-05,1.5533662285766026e-05,False,True,True,0.08887221374348253,0.08527800304687672,0.003594210696605815,0.013491720766483195,True,959,0.00837480581262795,0.00475902462817506,0,0,0,0,False,nan,nan,True,3.958944283510846e-12,3.958944283510846e-12,3.3306690738754696e-16,1.5673324135680791e-16,3.958944283510846e-12,True,2,1923,False
call_T200_s020_r010_q010,call,0.1,480,960,True,4.824443528020361e-06,3.0076771204927017e-06,2.9091489809063287e-06,4.484823574905233e-06,1.5918972283077149e-06,False,4.861976171943727e-06,1.15719473127794e-06,4.862330848509622e-06,2.6491542906613874e-06,2.252390028767426e-06,4.511590227990192e-06,5.4246845999222915e-06,True,3.839894534296562e-05,1.896910956331417e-05,1.1551400152520763e-05,3.2528390682018404e-05,4.4513791893074917e-05,True,True,True,1.4160294188567115,1.4140295484961607,0.001999870360550826,0.0062537448726829314,True,959,0.005099449316530169,0.0015615418314161016,0,0,0,0,False,nan,nan,True,1.209188305040243e-10,4.164493194747142e-11,2.023141789818573e-16,1.663693939730815e-14,4.164493194747142e-11,True,2,2067,False
put_T050_s060_r005_q003,put,0.03,480,960,True,4.659209060592362e-06,3.464570573727654e-06,3.381792429396624e-06,4.391251825060227e-06,2.738680317613401e-06,False,4.839374729115331e-06,1.7292508936308066e-06,4.859087801512008e-06,2.932631877574181e-06,2.3306911871856517e-06,4.537752637048809e-06,5.6972622592549316e-06,True,1.1951338279914125e-05,7.458996809590185e-06,7.1221265692256175e-06,1.0405794631629384e-05,1.6951884023452823e-05,True,True,True,0.4594848350049263,0.45794960695842163,0.0015352280465046886,0.008089536563847366,True,960,0.005672548166067881,0.001527658903324907,0,0,0,0,False,nan,nan,True,5.190181617820144e-12,5.190181617820144e-12,3.885780586188048e-16,2.6938110931657933e-16,5.190181617820144e-12,True,2,2110,False
