regime_id,option_type,T,sigma,r,q,K,Smax,M,N,solver_variant,planned_use,notes
put_T025_s020_r001_q000,put,0.25,0.20,0.01,0.00,1.0,4.0,120,120,baseline_cn_psor,train,Planned regime only; not solved in this construction plan.
put_T025_s020_r001_q003,put,0.25,0.20,0.01,0.03,1.0,4.0,120,120,baseline_cn_psor,train,Planned regime only; not solved in this construction plan.
put_T025_s020_r001_q006,put,0.25,0.20,0.01,0.06,1.0,4.0,120,120,baseline_cn_psor,train,Planned regime only; not solved in this construction plan.
put_T025_s020_r001_q010,put,0.25,0.20,0.01,0.10,1.0,4.0,120,120,baseline_cn_psor,train,Planned regime only; not solved in this construction plan.
put_T025_s020_r005_q000,put,0.25,0.20,0.05,0.00,1.0,4.0,120,120,baseline_cn_psor,train,Planned regime only; not solved in this construction plan.
put_T025_s020_r005_q003,put,0.25,0.20,0.05,0.03,1.0,4.0,120,120,baseline_cn_psor,train,Planned regime only; not solved in this construction plan.
put_T025_s020_r005_q006,put,0.25,0.20,0.05,0.06,1.0,4.0,120,120,baseline_cn_psor,train,Planned regime only; not solved in this construction plan.
put_T025_s020_r005_q010,put,0.25,0.20,0.05,0.10,1.0,4.0,120,120,baseline_cn_psor,train,Planned regime only; not solved in this construction plan.
put_T025_s020_r010_q000,put,0.25,0.20,0.10,0.00,1.0,4.0,120,120,baseline_cn_psor,train,Planned regime only; not solved in this construction plan.
put_T025_s020_r010_q003,put,0.25,0.20,0.10,0.03,1.0,4.0,120,120,baseline_cn_psor,train,Planned regime only; not solved in this construction plan.
put_T025_s020_r010_q006,put,0.25,0.20,0.10,0.06,1.0,4.0,120,120,baseline_cn_psor,train,Planned regime only; not solved in this construction plan.
put_T025_s020_r010_q010,put,0.25,0.20,0.10,0.10,1.0,4.0,120,120,baseline_cn_psor,train,Planned regime only; not solved in this construction plan.
put_T025_s040_r001_q000,put,0.25,0.40,0.01,0.00,1.0,4.0,120,120,baseline_cn_psor,train,Planned regime only; not solved in this construction plan.
put_T025_s040_r001_q003,put,0.25,0.40,0.01,0.03,1.0,4.0,120,120,baseline_cn_psor,train,Planned regime only; not solved in this construction plan.
put_T025_s040_r001_q006,put,0.25,0.40,0.01,0.06,1.0,4.0,120,120,baseline_cn_psor,train,Planned regime only; not solved in this construction plan.
put_T025_s040_r001_q010,put,0.25,0.40,0.01,0.10,1.0,4.0,120,120,baseline_cn_psor,train,Planned regime only; not solved in this construction plan.
put_T025_s040_r005_q000,put,0.25,0.40,0.05,0.00,1.0,4.0,120,120,baseline_cn_psor,train,Planned regime only; not solved in this construction plan.
put_T025_s040_r005_q003,put,0.25,0.40,0.05,0.03,1.0,4.0,120,120,baseline_cn_psor,train,Planned regime only; not solved in this construction plan.
put_T025_s040_r005_q006,put,0.25,0.40,0.05,0.06,1.0,4.0,120,120,baseline_cn_psor,train,Planned regime only; not solved in this construction plan.
put_T025_s040_r005_q010,put,0.25,0.40,0.05,0.10,1.0,4.0,120,120,baseline_cn_psor,train,Planned regime only; not solved in this construction plan.
