case_name,case_family,variation_name,option_type,K,T,r,q,sigma,Smax,M,N,threshold,search_direction,total_time_rows,positive_tau_rows,found_boundary_count,no_boundary_count,maturity_ambiguous_count,all_continuation_count,all_exercise_count,expected_exercise_side_absent_count,no_clean_transition_count,insufficient_interior_nodes_count,first_boundary_tau,last_boundary_tau,min_boundary_spot,max_boundary_spot,status,downstream_use_status
american_put_base,american_put,base,put,1,1,0.05,0.02,0.2,4,120,120,1e-06,low_to_high,121,120,120,1,1,0,0,0,0,0,0.00833333333333,1,0.766754125816,0.934082277368,BOUNDARIES_FOUND,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,1e-06,low_to_high,121,120,120,1,1,0,0,0,0,0,0.00833333333333,1,0.566688831192,0.900148625593,BOUNDARIES_FOUND,pilot_diagnostic_only
american_put_r_003,american_put,r_003,put,1,1,0.03,0.02,0.2,4,120,120,1e-06,low_to_high,121,120,120,1,1,0,0,0,0,0,0.00833333333333,1,0.733344168955,0.93350759565,BOUNDARIES_FOUND,pilot_diagnostic_only
american_put_q_000,american_put,q_000,put,1,1,0.05,0,0.2,4,120,120,1e-06,low_to_high,121,120,120,1,1,0,0,0,0,0,0.00833333333333,1,0.800039507217,0.966674631937,BOUNDARIES_FOUND,pilot_diagnostic_only
dividend_call_base,dividend_call,base,call,1,1,0.05,0.08,0.2,4,120,120,1e-06,high_to_low,121,120,120,1,1,0,0,0,0,0,0.00833333333333,1,1.0661653907,1.26663012494,BOUNDARIES_FOUND,pilot_diagnostic_only
dividend_call_sigma_040,dividend_call,sigma_040,call,1,1,0.05,0.08,0.4,4,120,120,1e-06,high_to_low,121,120,120,1,1,0,0,0,0,0,0.00833333333333,1,1.09990188658,1.73305843928,BOUNDARIES_FOUND,pilot_diagnostic_only
dividend_call_r_003,dividend_call,r_003,call,1,1,0.03,0.08,0.2,4,120,120,1e-06,high_to_low,121,120,120,1,1,0,0,0,0,0,0.00833333333333,1,1.03332536454,1.23328217079,BOUNDARIES_FOUND,pilot_diagnostic_only
dividend_call_q_003,dividend_call,q_003,call,1,1,0.05,0.03,0.2,4,120,120,1e-06,high_to_low,121,120,120,1,1,0,0,0,0,0,0.00833333333333,1,1.67301123573,1.89785321428,BOUNDARIES_FOUND,pilot_diagnostic_only
dividend_call_q_010,dividend_call,q_010,call,1,1,0.05,0.1,0.2,4,120,120,1e-06,high_to_low,121,120,120,1,1,0,0,0,0,0,0.00833333333333,1,1.03332536396,1.23321138817,BOUNDARIES_FOUND,pilot_diagnostic_only
american_put_high_grid_check,american_put,high_grid_check,put,1,1,0.05,0.02,0.2,4,180,180,1e-06,low_to_high,181,180,180,1,1,0,0,0,0,0,0.00555555555556,1,0.777814421668,0.955653391238,BOUNDARIES_FOUND,pilot_diagnostic_only
dividend_call_high_grid_check,dividend_call,high_grid_check,call,1,1,0.05,0.08,0.2,4,180,180,1e-06,high_to_low,181,180,180,1,1,0,0,0,0,0,0.00555555555556,1,1.0443557814,1.26661494419,BOUNDARIES_FOUND,pilot_diagnostic_only
