case_name,case_family,variation_name,option_type,K,T,r,q,sigma,Smax,M,N,max_obstacle_violation,min_value_gap,max_equation_violation,min_equation_gap,max_abs_complementarity_product,mean_max_abs_complementarity_product,lcp_status,finite_delta_count,finite_gamma_count,nonfinite_delta_count,nonfinite_gamma_count,max_abs_gamma,max_abs_gamma_away_from_boundary,max_abs_gamma_strict,boundary_near_node_count,kink_near_node_count,maturity_masked_node_count,strict_interior_node_count,strict_delta_lower_violation_count,strict_delta_upper_violation_count,strict_negative_gamma_count,greek_status,downstream_use_status
american_put_base,american_put,base,put,1,1,0.05,0.02,0.2,4,120,120,0,0,1.55664789392e-09,-1.55664789392e-09,6.6483476629e-11,1.74797223929e-11,PASS,14399,14399,242,242,30,30,3.18001886582,480,605,121,13243,0,0,0,PASS_WITH_CAUTIONS,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,0,0,1.93971868349e-08,-1.93971868349e-08,2.90747310424e-11,7.00474916281e-12,PASS,14399,14399,242,242,30,30,2.79072055783,480,605,121,13204,0,0,0,PASS_WITH_CAUTIONS,pilot_diagnostic_only
american_put_r_003,american_put,r_003,put,1,1,0.03,0.02,0.2,4,120,120,0,0,1.49319703824e-09,-1.49319703824e-09,3.41262583305e-11,1.15729589914e-11,PASS,14399,14399,242,242,30,30,2.85850235099,480,605,121,13222,0,0,0,PASS_WITH_CAUTIONS,pilot_diagnostic_only
american_put_q_000,american_put,q_000,put,1,1,0.05,0,0.2,4,120,120,0,0,1.58752003557e-09,-1.58752003557e-09,4.26377146459e-11,2.06909257814e-11,PASS,14399,14399,242,242,30,30,3.28746228962,480,605,121,13267,0,0,0,PASS_WITH_CAUTIONS,pilot_diagnostic_only
dividend_call_base,dividend_call,base,call,1,1,0.05,0.08,0.2,4,120,120,0,0,2.14416621448e-09,-2.14416621448e-09,2.37960951462e-11,1.28514152304e-11,PASS,14399,14399,242,242,30,30,2.6798873723,480,605,121,13231,0,0,0,PASS_WITH_CAUTIONS,pilot_diagnostic_only
dividend_call_sigma_040,dividend_call,sigma_040,call,1,1,0.05,0.08,0.4,4,120,120,0,0,6.38461955527e-09,-6.38461955527e-09,1.40132385843e-10,8.28067226806e-11,PASS,14399,14399,242,242,30,30,2.60916787542,480,605,121,13203,0,0,0,PASS_WITH_CAUTIONS,pilot_diagnostic_only
dividend_call_r_003,dividend_call,r_003,call,1,1,0.03,0.08,0.2,4,120,120,0,0,2.25996397984e-09,-2.25996397984e-09,3.24392510627e-11,1.29939012083e-11,PASS,14399,14399,242,242,30,30,2.85811435772,480,605,121,13248,0,0,0,PASS_WITH_CAUTIONS,pilot_diagnostic_only
dividend_call_q_003,dividend_call,q_003,call,1,1,0.05,0.03,0.2,4,120,120,0,0,1.50218972352e-09,-1.50218972352e-09,3.45183883325e-11,1.73309061894e-11,PASS,14399,14399,242,242,30,30,2.76820769123,480,605,121,13200,0,0,0,PASS_WITH_CAUTIONS,pilot_diagnostic_only
dividend_call_q_010,dividend_call,q_010,call,1,1,0.05,0.1,0.2,4,120,120,0,0,2.22796307792e-09,-2.22796307792e-09,3.15002441002e-11,1.40634121857e-11,PASS,14399,14399,242,242,30,30,2.88328962602,480,605,121,13250,0,0,0,PASS_WITH_CAUTIONS,pilot_diagnostic_only
american_put_high_grid_check,american_put,high_grid_check,put,1,1,0.05,0.02,0.2,4,180,180,0,0,1.63985583446e-09,-1.63985583446e-09,3.24847597016e-11,8.66622015426e-12,PASS,32399,32399,362,362,45,45,4.39201886969,720,905,181,30620,0,0,0,PASS_WITH_CAUTIONS,pilot_diagnostic_only
dividend_call_high_grid_check,dividend_call,high_grid_check,call,1,1,0.05,0.08,0.2,4,180,180,0,0,3.58450064075e-09,-3.58450064075e-09,2.74819219564e-11,9.33892377414e-12,PASS,32399,32399,362,362,45,45,3.83191822565,720,905,181,30617,0,0,0,PASS_WITH_CAUTIONS,pilot_diagnostic_only
