case_name,case_family,variation_name,option_type,K,T,r,q,sigma,Smax,M,N,dS,dtau,solver_name,solver_variant,premium_threshold,interpretation_lower_moneyness,interpretation_upper_moneyness,is_base_case,is_higher_grid_check,runtime_seconds,all_psor_steps_converged,psor_step_count,max_psor_iterations,mean_psor_iterations,max_final_update,max_obstacle_violation,boundary_found_count,boundary_status,greek_status,acceptance_status,downstream_use_status
american_put_base,american_put,base,put,1,1,0.05,0.02,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,True,False,0.0500943330117,True,120,10,6.99166666667,9.99713786753e-09,0,120,BOUNDARIES_FOUND,PASS_WITH_CAUTIONS,ACCEPTABLE_FOR_PILOT_REVIEW,pilot_diagnostic_only
american_put_sigma_040,american_put,sigma_040,put,1,1,0.05,0.02,0.4,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,False,0.0703737090807,True,120,15,9.825,9.91524881132e-09,0,120,BOUNDARIES_FOUND,PASS_WITH_CAUTIONS,ACCEPTABLE_FOR_PILOT_REVIEW,pilot_diagnostic_only
american_put_r_003,american_put,r_003,put,1,1,0.03,0.02,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,False,0.0523579998408,True,120,10,7.16666666667,9.41713084487e-09,0,120,BOUNDARIES_FOUND,PASS_WITH_CAUTIONS,ACCEPTABLE_FOR_PILOT_REVIEW,pilot_diagnostic_only
american_put_q_000,american_put,q_000,put,1,1,0.05,0,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,False,0.0475794579834,True,120,10,6.75,9.94715120342e-09,0,120,BOUNDARIES_FOUND,PASS_WITH_CAUTIONS,ACCEPTABLE_FOR_PILOT_REVIEW,pilot_diagnostic_only
dividend_call_base,dividend_call,base,call,1,1,0.05,0.08,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,True,False,0.0502428750042,True,120,10,7.35,9.4308899403e-09,0,120,BOUNDARIES_FOUND,PASS_WITH_CAUTIONS,ACCEPTABLE_FOR_PILOT_REVIEW,pilot_diagnostic_only
dividend_call_sigma_040,dividend_call,sigma_040,call,1,1,0.05,0.08,0.4,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,False,0.0635397080332,True,120,13,9.25,9.88939782842e-09,0,120,BOUNDARIES_FOUND,PASS_WITH_CAUTIONS,ACCEPTABLE_FOR_PILOT_REVIEW,pilot_diagnostic_only
dividend_call_r_003,dividend_call,r_003,call,1,1,0.03,0.08,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,False,0.0519086669665,True,120,10,7.48333333333,9.96048274415e-09,0,120,BOUNDARIES_FOUND,PASS_WITH_CAUTIONS,ACCEPTABLE_FOR_PILOT_REVIEW,pilot_diagnostic_only
dividend_call_q_003,dividend_call,q_003,call,1,1,0.05,0.03,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,False,0.0526364999823,True,120,10,7.16666666667,9.66135207947e-09,0,120,BOUNDARIES_FOUND,PASS_WITH_CAUTIONS,ACCEPTABLE_FOR_PILOT_REVIEW,pilot_diagnostic_only
dividend_call_q_010,dividend_call,q_010,call,1,1,0.05,0.1,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,False,0.0526478749234,True,120,10,7.45833333333,9.90374446341e-09,0,120,BOUNDARIES_FOUND,PASS_WITH_CAUTIONS,ACCEPTABLE_FOR_PILOT_REVIEW,pilot_diagnostic_only
american_put_high_grid_check,american_put,high_grid_check,put,1,1,0.05,0.02,0.2,4,180,180,0.0222222222222,0.00555555555556,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,True,0.0976326670498,True,180,10,6.15555555556,9.99186264283e-09,0,180,BOUNDARIES_FOUND,PASS_WITH_CAUTIONS,ACCEPTABLE_FOR_PILOT_REVIEW,pilot_diagnostic_only
dividend_call_high_grid_check,dividend_call,high_grid_check,call,1,1,0.05,0.08,0.2,4,180,180,0.0222222222222,0.00555555555556,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,True,0.111179541098,True,180,11,7.11111111111,9.96743998449e-09,0,180,BOUNDARIES_FOUND,PASS_WITH_CAUTIONS,ACCEPTABLE_FOR_PILOT_REVIEW,pilot_diagnostic_only
