case_name,case_family,sweep_name,stress_parameter,stress_value,option_type,K,T,r,q,sigma,Smax,M,N,target_tau_fraction,target_tau,nearest_tau,time_index,boundary_found,boundary_spot,boundary_moneyness,no_boundary_reason,min_boundary_spot,max_boundary_spot,max_continuation_premium_at_tau,mean_continuation_premium_at_tau_interpretation_region,downstream_use_status
american_put_sigma_200,american_put,put_volatility_sweep,sigma,0.2,put,1,1,0.05,0.02,0.2,4,120,120,0.01,0.01,0.00833333333333,1,True,0.934082277368,0.934082277368,,0.766754125816,0.934082277368,0.00426046655356,0.000107341632369,analytics_diagnostic_only
american_put_sigma_200,american_put,put_volatility_sweep,sigma,0.2,put,1,1,0.05,0.02,0.2,4,120,120,0.25,0.25,0.25,30,True,0.833794644792,0.833794644792,,0.766754125816,0.934082277368,0.0359381874217,0.00285117164161,analytics_diagnostic_only
american_put_sigma_200,american_put,put_volatility_sweep,sigma,0.2,put,1,1,0.05,0.02,0.2,4,120,120,0.5,0.5,0.5,60,True,0.800295996499,0.800295996499,,0.766754125816,0.934082277368,0.0493329415106,0.00536470721625,analytics_diagnostic_only
american_put_sigma_200,american_put,put_volatility_sweep,sigma,0.2,put,1,1,0.05,0.02,0.2,4,120,120,0.75,0.75,0.75,90,True,0.800017080078,0.800017080078,,0.766754125816,0.934082277368,0.0588110043217,0.00770206488787,analytics_diagnostic_only
american_put_sigma_200,american_put,put_volatility_sweep,sigma,0.2,put,1,1,0.05,0.02,0.2,4,120,120,1,1,1,120,True,0.766754125816,0.766754125816,,0.766754125816,0.934082277368,0.0663013305386,0.00989277205115,analytics_diagnostic_only
american_put_sigma_400,american_put,put_volatility_sweep,sigma,0.4,put,1,1,0.05,0.02,0.4,4,120,120,0.01,0.01,0.00833333333333,1,True,0.900148625593,0.900148625593,,0.566688831192,0.900148625593,0.013357121023,0.000449067289603,analytics_diagnostic_only
american_put_sigma_400,american_put,put_volatility_sweep,sigma,0.4,put,1,1,0.05,0.02,0.4,4,120,120,0.25,0.25,0.25,30,True,0.700035201101,0.700035201101,,0.566688831192,0.900148625593,0.0756230021613,0.0127302716342,analytics_diagnostic_only
american_put_sigma_400,american_put,put_volatility_sweep,sigma,0.4,put,1,1,0.05,0.02,0.4,4,120,120,0.5,0.5,0.5,60,True,0.63336313416,0.63336313416,,0.566688831192,0.900148625593,0.10458548438,0.0247673260993,analytics_diagnostic_only
american_put_sigma_400,american_put,put_volatility_sweep,sigma,0.4,put,1,1,0.05,0.02,0.4,4,120,120,0.75,0.75,0.75,90,True,0.567395383963,0.567395383963,,0.566688831192,0.900148625593,0.125640280769,0.0359862439284,analytics_diagnostic_only
american_put_sigma_400,american_put,put_volatility_sweep,sigma,0.4,put,1,1,0.05,0.02,0.4,4,120,120,1,1,1,120,True,0.566688831192,0.566688831192,,0.566688831192,0.900148625593,0.142578361245,0.0463230964132,analytics_diagnostic_only
american_put_sigma_600,american_put,put_volatility_sweep,sigma,0.6,put,1,1,0.05,0.02,0.6,4,120,120,0.01,0.01,0.00833333333333,1,True,0.866760111984,0.866760111984,,0.400027503925,0.866760111984,0.0232639278699,0.0010223609825,analytics_diagnostic_only
american_put_sigma_600,american_put,put_volatility_sweep,sigma,0.6,put,1,1,0.05,0.02,0.6,4,120,120,0.25,0.25,0.25,30,True,0.566710127244,0.566710127244,,0.400027503925,0.866760111984,0.114972600434,0.0299372083025,analytics_diagnostic_only
american_put_sigma_600,american_put,put_volatility_sweep,sigma,0.6,put,1,1,0.05,0.02,0.6,4,120,120,0.5,0.5,0.5,60,True,0.46675796345,0.46675796345,,0.400027503925,0.866760111984,0.159318889862,0.0569617110161,analytics_diagnostic_only
american_put_sigma_600,american_put,put_volatility_sweep,sigma,0.6,put,1,1,0.05,0.02,0.6,4,120,120,0.75,0.75,0.75,90,True,0.433363771474,0.433363771474,,0.400027503925,0.866760111984,0.191652751393,0.0804078424806,analytics_diagnostic_only
american_put_sigma_600,american_put,put_volatility_sweep,sigma,0.6,put,1,1,0.05,0.02,0.6,4,120,120,1,1,1,120,True,0.400027503925,0.400027503925,,0.400027503925,0.866760111984,0.217679942849,0.100948053617,analytics_diagnostic_only
american_put_q_000,american_put,put_dividend_yield_sweep,q,0,put,1,1,0.05,0,0.2,4,120,120,0.01,0.01,0.00833333333333,1,True,0.966674631937,0.966674631937,,0.800039507217,0.966674631937,0.00418483405087,0.000104293438935,analytics_diagnostic_only
american_put_q_000,american_put,put_dividend_yield_sweep,q,0,put,1,1,0.05,0,0.2,4,120,120,0.25,0.25,0.25,30,True,0.866689164964,0.866689164964,,0.800039507217,0.966674631937,0.0341705420702,0.00258794006212,analytics_diagnostic_only
american_put_q_000,american_put,put_dividend_yield_sweep,q,0,put,1,1,0.05,0,0.2,4,120,120,0.5,0.5,0.5,60,True,0.833364649837,0.833364649837,,0.800039507217,0.966674631937,0.0461085274204,0.00472935278895,analytics_diagnostic_only
american_put_q_000,american_put,put_dividend_yield_sweep,q,0,put,1,1,0.05,0,0.2,4,120,120,0.75,0.75,0.75,90,True,0.833342898328,0.833342898328,,0.800039507217,0.966674631937,0.0542923218025,0.00664786782386,analytics_diagnostic_only
american_put_q_000,american_put,put_dividend_yield_sweep,q,0,put,1,1,0.05,0,0.2,4,120,120,1,1,1,120,True,0.800039507217,0.800039507217,,0.800039507217,0.966674631937,0.0605862157822,0.00840246291007,analytics_diagnostic_only
american_put_q_020,american_put,put_dividend_yield_sweep,q,0.02,put,1,1,0.05,0.02,0.2,4,120,120,0.01,0.01,0.00833333333333,1,True,0.934082277368,0.934082277368,,0.766754125816,0.934082277368,0.00426046655356,0.000107341632369,analytics_diagnostic_only
american_put_q_020,american_put,put_dividend_yield_sweep,q,0.02,put,1,1,0.05,0.02,0.2,4,120,120,0.25,0.25,0.25,30,True,0.833794644792,0.833794644792,,0.766754125816,0.934082277368,0.0359381874217,0.00285117164161,analytics_diagnostic_only
american_put_q_020,american_put,put_dividend_yield_sweep,q,0.02,put,1,1,0.05,0.02,0.2,4,120,120,0.5,0.5,0.5,60,True,0.800295996499,0.800295996499,,0.766754125816,0.934082277368,0.0493329415106,0.00536470721625,analytics_diagnostic_only
american_put_q_020,american_put,put_dividend_yield_sweep,q,0.02,put,1,1,0.05,0.02,0.2,4,120,120,0.75,0.75,0.75,90,True,0.800017080078,0.800017080078,,0.766754125816,0.934082277368,0.0588110043217,0.00770206488787,analytics_diagnostic_only
american_put_q_020,american_put,put_dividend_yield_sweep,q,0.02,put,1,1,0.05,0.02,0.2,4,120,120,1,1,1,120,True,0.766754125816,0.766754125816,,0.766754125816,0.934082277368,0.0663013305386,0.00989277205115,analytics_diagnostic_only
american_put_q_040,american_put,put_dividend_yield_sweep,q,0.04,put,1,1,0.05,0.04,0.2,4,120,120,0.01,0.01,0.00833333333333,1,True,0.933512201178,0.933512201178,,0.733374817121,0.933512201178,0.00434250908963,0.00011281863557,analytics_diagnostic_only
american_put_q_040,american_put,put_dividend_yield_sweep,q,0.04,put,1,1,0.05,0.04,0.2,4,120,120,0.25,0.25,0.25,30,True,0.833359289436,0.833359289436,,0.733374817121,0.933512201178,0.0378622194657,0.00317702760165,analytics_diagnostic_only
american_put_q_040,american_put,put_dividend_yield_sweep,q,0.04,put,1,1,0.05,0.04,0.2,4,120,120,0.5,0.5,0.5,60,True,0.766953494356,0.766953494356,,0.733374817121,0.933512201178,0.0529014882272,0.0061508761373,analytics_diagnostic_only
american_put_q_040,american_put,put_dividend_yield_sweep,q,0.04,put,1,1,0.05,0.04,0.2,4,120,120,0.75,0.75,0.75,90,True,0.766686152462,0.766686152462,,0.733374817121,0.933512201178,0.0638850589118,0.00900661114589,analytics_diagnostic_only
american_put_q_040,american_put,put_dividend_yield_sweep,q,0.04,put,1,1,0.05,0.04,0.2,4,120,120,1,1,1,120,True,0.733374817121,0.733374817121,,0.733374817121,0.933512201178,0.072765800431,0.0117667028951,analytics_diagnostic_only
american_put_r_030,american_put,put_interest_rate_sweep,r,0.03,put,1,1,0.03,0.02,0.2,4,120,120,0.01,0.01,0.00833333333333,1,True,0.93350759565,0.93350759565,,0.733344168955,0.93350759565,0.00434314653649,0.000112949686088,analytics_diagnostic_only
american_put_r_030,american_put,put_interest_rate_sweep,r,0.03,put,1,1,0.03,0.02,0.2,4,120,120,0.25,0.25,0.25,30,True,0.800576527695,0.800576527695,,0.733344168955,0.93350759565,0.0380065391828,0.00320834585369,analytics_diagnostic_only
american_put_r_030,american_put,put_interest_rate_sweep,r,0.03,put,1,1,0.03,0.02,0.2,4,120,120,0.5,0.5,0.5,60,True,0.766740360868,0.766740360868,,0.733344168955,0.93350759565,0.0532877118845,0.00625614937052,analytics_diagnostic_only
american_put_r_030,american_put,put_interest_rate_sweep,r,0.03,put,1,1,0.03,0.02,0.2,4,120,120,0.75,0.75,0.75,90,True,0.733436087446,0.733436087446,,0.733344168955,0.93350759565,0.0645648899426,0.00921102173548,analytics_diagnostic_only
american_put_r_030,american_put,put_interest_rate_sweep,r,0.03,put,1,1,0.03,0.02,0.2,4,120,120,1,1,1,120,True,0.733344168955,0.733344168955,,0.733344168955,0.93350759565,0.073773926967,0.0120957054164,analytics_diagnostic_only
american_put_r_050,american_put,put_interest_rate_sweep,r,0.05,put,1,1,0.05,0.02,0.2,4,120,120,0.01,0.01,0.00833333333333,1,True,0.934082277368,0.934082277368,,0.766754125816,0.934082277368,0.00426046655356,0.000107341632369,analytics_diagnostic_only
american_put_r_050,american_put,put_interest_rate_sweep,r,0.05,put,1,1,0.05,0.02,0.2,4,120,120,0.25,0.25,0.25,30,True,0.833794644792,0.833794644792,,0.766754125816,0.934082277368,0.0359381874217,0.00285117164161,analytics_diagnostic_only
american_put_r_050,american_put,put_interest_rate_sweep,r,0.05,put,1,1,0.05,0.02,0.2,4,120,120,0.5,0.5,0.5,60,True,0.800295996499,0.800295996499,,0.766754125816,0.934082277368,0.0493329415106,0.00536470721625,analytics_diagnostic_only
american_put_r_050,american_put,put_interest_rate_sweep,r,0.05,put,1,1,0.05,0.02,0.2,4,120,120,0.75,0.75,0.75,90,True,0.800017080078,0.800017080078,,0.766754125816,0.934082277368,0.0588110043217,0.00770206488787,analytics_diagnostic_only
american_put_r_050,american_put,put_interest_rate_sweep,r,0.05,put,1,1,0.05,0.02,0.2,4,120,120,1,1,1,120,True,0.766754125816,0.766754125816,,0.766754125816,0.934082277368,0.0663013305386,0.00989277205115,analytics_diagnostic_only
american_put_r_080,american_put,put_interest_rate_sweep,r,0.08,put,1,1,0.08,0.02,0.2,4,120,120,0.01,0.01,0.00833333333333,1,True,0.966674702706,0.966674702706,,0.833343066636,0.966674702706,0.00414798039947,0.000103311847008,analytics_diagnostic_only
american_put_r_080,american_put,put_interest_rate_sweep,r,0.08,put,1,1,0.08,0.02,0.2,4,120,120,0.25,0.25,0.25,30,True,0.86671643032,0.86671643032,,0.833343066636,0.966674702706,0.0331890168144,0.00244382321394,analytics_diagnostic_only
american_put_r_080,american_put,put_interest_rate_sweep,r,0.08,put,1,1,0.08,0.02,0.2,4,120,120,0.5,0.5,0.5,60,True,0.835281038111,0.835281038111,,0.833343066636,0.966674702706,0.0442375559971,0.0043786435423,analytics_diagnostic_only
american_put_r_080,american_put,put_interest_rate_sweep,r,0.08,put,1,1,0.08,0.02,0.2,4,120,120,0.75,0.75,0.75,90,True,0.833352746722,0.833352746722,,0.833343066636,0.966674702706,0.0515573639792,0.00606603976261,analytics_diagnostic_only
