case_name,case_family,sweep_name,stress_parameter,stress_value,option_type,K,T,r,q,sigma,Smax,M,N,finite_delta_count,finite_gamma_count,nonfinite_delta_count,nonfinite_gamma_count,max_abs_gamma,max_abs_gamma_away_from_boundary,max_abs_gamma_strict,boundary_near_node_count,kink_near_node_count,maturity_masked_node_count,strict_interior_node_count,strict_negative_gamma_count,greek_status,downstream_use_status
american_put_sigma_200,american_put,put_volatility_sweep,sigma,0.2,put,1,1,0.05,0.02,0.2,4,120,120,14399,14399,242,242,30,30,3.18001886582,480,605,121,13243,0,PASS_WITH_CAUTIONS,analytics_diagnostic_only
american_put_sigma_400,american_put,put_volatility_sweep,sigma,0.4,put,1,1,0.05,0.02,0.4,4,120,120,14399,14399,242,242,30,30,2.79072055783,480,605,121,13204,0,PASS_WITH_CAUTIONS,analytics_diagnostic_only
american_put_sigma_600,american_put,put_volatility_sweep,sigma,0.6,put,1,1,0.05,0.02,0.6,4,120,120,14399,14399,242,242,30,30,2.78640576612,480,605,121,13201,0,PASS_WITH_CAUTIONS,analytics_diagnostic_only
american_put_q_000,american_put,put_dividend_yield_sweep,q,0,put,1,1,0.05,0,0.2,4,120,120,14399,14399,242,242,30,30,3.28746228962,480,605,121,13267,0,PASS_WITH_CAUTIONS,analytics_diagnostic_only
american_put_q_020,american_put,put_dividend_yield_sweep,q,0.02,put,1,1,0.05,0.02,0.2,4,120,120,14399,14399,242,242,30,30,3.18001886582,480,605,121,13243,0,PASS_WITH_CAUTIONS,analytics_diagnostic_only
american_put_q_040,american_put,put_dividend_yield_sweep,q,0.04,put,1,1,0.05,0.04,0.2,4,120,120,14399,14399,242,242,30,30,2.90617395828,480,605,121,13225,0,PASS_WITH_CAUTIONS,analytics_diagnostic_only
american_put_r_030,american_put,put_interest_rate_sweep,r,0.03,put,1,1,0.03,0.02,0.2,4,120,120,14399,14399,242,242,30,30,2.85850235099,480,605,121,13222,0,PASS_WITH_CAUTIONS,analytics_diagnostic_only
american_put_r_050,american_put,put_interest_rate_sweep,r,0.05,put,1,1,0.05,0.02,0.2,4,120,120,14399,14399,242,242,30,30,3.18001886582,480,605,121,13243,0,PASS_WITH_CAUTIONS,analytics_diagnostic_only
american_put_r_080,american_put,put_interest_rate_sweep,r,0.08,put,1,1,0.08,0.02,0.2,4,120,120,14399,14399,242,242,30,30,1.92279108035,480,605,121,13288,0,PASS_WITH_CAUTIONS,analytics_diagnostic_only
dividend_call_q_030,dividend_call,call_dividend_yield_sweep,q,0.03,call,1,1,0.05,0.03,0.2,4,120,120,14399,14399,242,242,30,30,2.76820769123,480,605,121,13200,0,PASS_WITH_CAUTIONS,analytics_diagnostic_only
dividend_call_q_080,dividend_call,call_dividend_yield_sweep,q,0.08,call,1,1,0.05,0.08,0.2,4,120,120,14399,14399,242,242,30,30,2.6798873723,480,605,121,13231,0,PASS_WITH_CAUTIONS,analytics_diagnostic_only
dividend_call_q_100,dividend_call,call_dividend_yield_sweep,q,0.1,call,1,1,0.05,0.1,0.2,4,120,120,14399,14399,242,242,30,30,2.88328962602,480,605,121,13250,0,PASS_WITH_CAUTIONS,analytics_diagnostic_only
dividend_call_q_140,dividend_call,call_dividend_yield_sweep,q,0.14,call,1,1,0.05,0.14,0.2,4,120,120,14399,14399,242,242,30,30,2.16470030611,480,605,121,13311,0,PASS_WITH_CAUTIONS,analytics_diagnostic_only
dividend_call_sigma_200,dividend_call,call_volatility_sweep,sigma,0.2,call,1,1,0.05,0.08,0.2,4,120,120,14399,14399,242,242,30,30,2.6798873723,480,605,121,13231,0,PASS_WITH_CAUTIONS,analytics_diagnostic_only
