case_name,case_family,sweep_name,stress_parameter,stress_value,option_type,K,T,r,q,sigma,Smax,M,N,lcp_status,all_psor_steps_converged,max_obstacle_violation,min_value_gap,max_equation_violation,min_equation_gap,max_abs_complementarity_product,mean_max_abs_complementarity_product,max_exercise_like_node_count,max_continuation_like_node_count,max_ambiguous_node_count,downstream_use_status
american_put_sigma_200,american_put,put_volatility_sweep,sigma,0.2,put,1,1,0.05,0.02,0.2,4,120,120,PASS,True,0,0,1.55664789392e-09,-1.55664789392e-09,6.6483476629e-11,1.74797223929e-11,113,51,0,analytics_diagnostic_only
american_put_sigma_400,american_put,put_volatility_sweep,sigma,0.4,put,1,1,0.05,0.02,0.4,4,120,120,PASS,True,0,0,1.93971868349e-08,-1.93971868349e-08,2.90747310424e-11,7.00474916281e-12,108,102,0,analytics_diagnostic_only
american_put_sigma_600,american_put,put_volatility_sweep,sigma,0.6,put,1,1,0.05,0.02,0.6,4,120,120,PASS,True,0,0,4.89378039177e-08,-4.89378039177e-08,3.01029673631e-10,8.18800147815e-11,103,107,0,analytics_diagnostic_only
american_put_q_000,american_put,put_dividend_yield_sweep,q,0,put,1,1,0.05,0,0.2,4,120,120,PASS,True,0,0,1.58752003557e-09,-1.58752003557e-09,4.26377146459e-11,2.06909257814e-11,114,48,0,analytics_diagnostic_only
american_put_q_020,american_put,put_dividend_yield_sweep,q,0.02,put,1,1,0.05,0.02,0.2,4,120,120,PASS,True,0,0,1.55664789392e-09,-1.55664789392e-09,6.6483476629e-11,1.74797223929e-11,113,51,0,analytics_diagnostic_only
american_put_q_040,american_put,put_dividend_yield_sweep,q,0.04,put,1,1,0.05,0.04,0.2,4,120,120,PASS,True,0,0,1.48546026868e-09,-1.48546026868e-09,3.43300020652e-11,1.09282160231e-11,113,53,0,analytics_diagnostic_only
american_put_r_030,american_put,put_interest_rate_sweep,r,0.03,put,1,1,0.03,0.02,0.2,4,120,120,PASS,True,0,0,1.49319703824e-09,-1.49319703824e-09,3.41262583305e-11,1.15729589914e-11,113,54,0,analytics_diagnostic_only
american_put_r_050,american_put,put_interest_rate_sweep,r,0.05,put,1,1,0.05,0.02,0.2,4,120,120,PASS,True,0,0,1.55664789392e-09,-1.55664789392e-09,6.6483476629e-11,1.74797223929e-11,113,51,0,analytics_diagnostic_only
american_put_r_080,american_put,put_interest_rate_sweep,r,0.08,put,1,1,0.08,0.02,0.2,4,120,120,PASS,True,0,0,1.64122183205e-09,-1.64122183205e-09,3.56586973971e-11,1.8597445758e-11,114,47,0,analytics_diagnostic_only
dividend_call_q_030,dividend_call,call_dividend_yield_sweep,q,0.03,call,1,1,0.05,0.03,0.2,4,120,120,PASS,True,0,0,1.50218972352e-09,-1.50218972352e-09,3.45183883325e-11,1.73309061894e-11,95,45,0,analytics_diagnostic_only
