case_name,case_family,sweep_name,stress_parameter,stress_value,option_type,K,T,r,q,sigma,Smax,M,N,dS,dtau,solver_name,solver_variant,premium_threshold,interpretation_lower_moneyness,interpretation_upper_moneyness,is_heatmap_case,runtime_seconds,all_psor_steps_converged,psor_step_count,max_psor_iterations,mean_psor_iterations,max_final_update,max_obstacle_violation,max_equation_violation,max_abs_complementarity_product,boundary_found_count,boundary_status,min_boundary_spot,max_boundary_spot,max_continuation_premium,max_abs_gamma,max_abs_gamma_strict,boundary_near_node_count,strict_negative_gamma_count,acceptance_status,downstream_use_status
american_put_sigma_200,american_put,put_volatility_sweep,sigma,0.2,put,1,1,0.05,0.02,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,0.0490944168996,True,120,10,6.99166666667,9.99713786753e-09,0,1.55664789392e-09,6.6483476629e-11,120,BOUNDARIES_FOUND,0.766754125816,0.934082277368,0.0663013305386,30,3.18001886582,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
american_put_sigma_400,american_put,put_volatility_sweep,sigma,0.4,put,1,1,0.05,0.02,0.4,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,0.0725618749857,True,120,15,9.825,9.91524881132e-09,0,1.93971868349e-08,2.90747310424e-11,120,BOUNDARIES_FOUND,0.566688831192,0.900148625593,0.142578361245,30,2.79072055783,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
american_put_sigma_600,american_put,put_volatility_sweep,sigma,0.6,put,1,1,0.05,0.02,0.6,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,0.204384958139,True,120,41,29.4166666667,9.99205059806e-09,0,4.89378039177e-08,3.01029673631e-10,120,BOUNDARIES_FOUND,0.400027503925,0.866760111984,0.217679942849,30,2.78640576612,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
american_put_q_000,american_put,put_dividend_yield_sweep,q,0,put,1,1,0.05,0,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,0.0477663329802,True,120,10,6.75,9.94715120342e-09,0,1.58752003557e-09,4.26377146459e-11,120,BOUNDARIES_FOUND,0.800039507217,0.966674631937,0.0605862157822,30,3.28746228962,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
american_put_q_020,american_put,put_dividend_yield_sweep,q,0.02,put,1,1,0.05,0.02,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,0.0490944168996,True,120,10,6.99166666667,9.99713786753e-09,0,1.55664789392e-09,6.6483476629e-11,120,BOUNDARIES_FOUND,0.766754125816,0.934082277368,0.0663013305386,30,3.18001886582,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
american_put_q_040,american_put,put_dividend_yield_sweep,q,0.04,put,1,1,0.05,0.04,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,0.0520509579219,True,120,10,7.16666666667,9.38297102385e-09,0,1.48546026868e-09,3.43300020652e-11,120,BOUNDARIES_FOUND,0.733374817121,0.933512201178,0.072765800431,30,2.90617395828,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
american_put_r_030,american_put,put_interest_rate_sweep,r,0.03,put,1,1,0.03,0.02,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,0.0515002908651,True,120,10,7.16666666667,9.41713084487e-09,0,1.49319703824e-09,3.41262583305e-11,120,BOUNDARIES_FOUND,0.733344168955,0.93350759565,0.073773926967,30,2.85850235099,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
american_put_r_050,american_put,put_interest_rate_sweep,r,0.05,put,1,1,0.05,0.02,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,0.0490944168996,True,120,10,6.99166666667,9.99713786753e-09,0,1.55664789392e-09,6.6483476629e-11,120,BOUNDARIES_FOUND,0.766754125816,0.934082277368,0.0663013305386,30,3.18001886582,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
american_put_r_080,american_put,put_interest_rate_sweep,r,0.08,put,1,1,0.08,0.02,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,0.0462582500186,True,120,10,6.65,9.85761699698e-09,0,1.64122183205e-09,3.56586973971e-11,120,BOUNDARIES_FOUND,0.833343066636,0.966674702706,0.0570887746041,30,1.92279108035,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
dividend_call_q_030,dividend_call,call_dividend_yield_sweep,q,0.03,call,1,1,0.05,0.03,0.2,4,120,120,0.0333333333333,0.00833333333333,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.4,1.8,False,0.0502604169305,True,120,10,7.16666666667,9.66135207947e-09,0,1.50218972352e-09,3.45183883325e-11,120,BOUNDARIES_FOUND,1.67301123573,1.89785321428,0.0862630086394,30,2.76820769123,480,0,ACCEPTABLE_FOR_ANALYTICS_REVIEW,analytics_diagnostic_only
