case_name,case_family,sweep_name,stress_parameter,stress_value,option_type,K,T,r,q,sigma,Smax,M,N,runtime_seconds,psor_step_count,max_psor_iterations,mean_psor_iterations,max_final_update,all_psor_steps_converged,downstream_use_status
american_put_sigma_200,american_put,put_volatility_sweep,sigma,0.2,put,1,1,0.05,0.02,0.2,4,120,120,0.0490944168996,120,10,6.99166666667,9.99713786753e-09,True,analytics_diagnostic_only
american_put_sigma_400,american_put,put_volatility_sweep,sigma,0.4,put,1,1,0.05,0.02,0.4,4,120,120,0.0725618749857,120,15,9.825,9.91524881132e-09,True,analytics_diagnostic_only
american_put_sigma_600,american_put,put_volatility_sweep,sigma,0.6,put,1,1,0.05,0.02,0.6,4,120,120,0.204384958139,120,41,29.4166666667,9.99205059806e-09,True,analytics_diagnostic_only
american_put_q_000,american_put,put_dividend_yield_sweep,q,0,put,1,1,0.05,0,0.2,4,120,120,0.0477663329802,120,10,6.75,9.94715120342e-09,True,analytics_diagnostic_only
american_put_q_020,american_put,put_dividend_yield_sweep,q,0.02,put,1,1,0.05,0.02,0.2,4,120,120,0.0490944168996,120,10,6.99166666667,9.99713786753e-09,True,analytics_diagnostic_only
american_put_q_040,american_put,put_dividend_yield_sweep,q,0.04,put,1,1,0.05,0.04,0.2,4,120,120,0.0520509579219,120,10,7.16666666667,9.38297102385e-09,True,analytics_diagnostic_only
american_put_r_030,american_put,put_interest_rate_sweep,r,0.03,put,1,1,0.03,0.02,0.2,4,120,120,0.0515002908651,120,10,7.16666666667,9.41713084487e-09,True,analytics_diagnostic_only
american_put_r_050,american_put,put_interest_rate_sweep,r,0.05,put,1,1,0.05,0.02,0.2,4,120,120,0.0490944168996,120,10,6.99166666667,9.99713786753e-09,True,analytics_diagnostic_only
american_put_r_080,american_put,put_interest_rate_sweep,r,0.08,put,1,1,0.08,0.02,0.2,4,120,120,0.0462582500186,120,10,6.65,9.85761699698e-09,True,analytics_diagnostic_only
dividend_call_q_030,dividend_call,call_dividend_yield_sweep,q,0.03,call,1,1,0.05,0.03,0.2,4,120,120,0.0502604169305,120,10,7.16666666667,9.66135207947e-09,True,analytics_diagnostic_only
dividend_call_q_080,dividend_call,call_dividend_yield_sweep,q,0.08,call,1,1,0.05,0.08,0.2,4,120,120,0.0515060408507,120,10,7.35,9.4308899403e-09,True,analytics_diagnostic_only
