regime_id,split,split_reason,option_family_balance,stress_holdout_flag,total_sample_rows,accepted_sample_rows,acceptance_status,downstream_use_status
put_T025_s020_r001_q000,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s020_r001_q003,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s020_r001_q006,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s020_r001_q010,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s020_r005_q000,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s020_r005_q003,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s020_r005_q006,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s020_r005_q010,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s020_r010_q000,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s020_r010_q003,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s020_r010_q006,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s020_r010_q010,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s040_r001_q000,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s040_r001_q003,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s040_r001_q006,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s040_r001_q010,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s040_r005_q000,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s040_r005_q003,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s040_r005_q006,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s040_r005_q010,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s040_r010_q000,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s040_r010_q003,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s040_r010_q006,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s040_r010_q010,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s060_r001_q000,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s060_r001_q003,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s060_r001_q006,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s060_r001_q010,stress_holdout,High-volatility and high-dividend stress combination held out before any row-level split.,put_family,yes,5203,5203,accepted,v1_small_grid_only
put_T025_s060_r005_q000,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s060_r005_q003,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s060_r005_q006,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s060_r005_q010,stress_holdout,High-volatility and high-dividend stress combination held out before any row-level split.,put_family,yes,5203,5203,accepted,v1_small_grid_only
put_T025_s060_r010_q000,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s060_r010_q003,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s060_r010_q006,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
put_T025_s060_r010_q010,stress_holdout,High-volatility and high-dividend stress combination held out before any row-level split.,put_family,yes,5203,5203,accepted,v1_small_grid_only
put_T050_s020_r001_q000,train,Default construction-planning training regime.,put_family,no,5203,5203,accepted,v1_small_grid_only
