method_name,regime_id,split,option_type,T,sigma,r,q,row_count,reference_found_count,predicted_found_count,comparable_error_count,reference_outside_sample_window_count,boundary_mae,boundary_rmse,boundary_max_abs_error,boundary_found_agreement_rate,missed_boundary_rate,false_boundary_rate,no_dividend_call_false_boundary_rate,downstream_use_status
premium_implied_boundary,call_T025_s020_r001_q000,test,call,0.25,0.2,0.01,0.0,121,0,0,0,0,nan,nan,nan,1.0,nan,0.0,0.0,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s020_r001_q003,train,call,0.25,0.2,0.01,0.03,121,120,0,0,0,nan,nan,nan,0.008264462809917356,1.0,0.0,nan,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s020_r001_q006,train,call,0.25,0.2,0.01,0.06,121,120,0,0,0,nan,nan,nan,0.008264462809917356,1.0,0.0,nan,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s020_r001_q010,train,call,0.25,0.2,0.01,0.1,121,120,0,0,0,nan,nan,nan,0.008264462809917356,1.0,0.0,nan,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s020_r005_q000,test,call,0.25,0.2,0.05,0.0,121,0,0,0,0,nan,nan,nan,1.0,nan,0.0,0.0,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s020_r005_q003,train,call,0.25,0.2,0.05,0.03,121,120,0,0,0,nan,nan,nan,0.008264462809917356,1.0,0.0,nan,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s020_r005_q006,train,call,0.25,0.2,0.05,0.06,121,120,0,0,0,nan,nan,nan,0.008264462809917356,1.0,0.0,nan,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s020_r005_q010,train,call,0.25,0.2,0.05,0.1,121,120,0,0,0,nan,nan,nan,0.008264462809917356,1.0,0.0,nan,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s020_r010_q000,test,call,0.25,0.2,0.1,0.0,121,0,0,0,0,nan,nan,nan,1.0,nan,0.0,0.0,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s020_r010_q003,train,call,0.25,0.2,0.1,0.03,121,120,0,0,120,nan,nan,nan,0.008264462809917356,nan,0.0,nan,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s020_r010_q006,train,call,0.25,0.2,0.1,0.06,121,120,0,0,0,nan,nan,nan,0.008264462809917356,1.0,0.0,nan,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s020_r010_q010,train,call,0.25,0.2,0.1,0.1,121,120,0,0,0,nan,nan,nan,0.008264462809917356,1.0,0.0,nan,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s040_r001_q000,test,call,0.25,0.4,0.01,0.0,121,0,0,0,0,nan,nan,nan,1.0,nan,0.0,0.0,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s040_r001_q003,train,call,0.25,0.4,0.01,0.03,121,120,0,0,0,nan,nan,nan,0.008264462809917356,1.0,0.0,nan,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s040_r001_q006,train,call,0.25,0.4,0.01,0.06,121,120,0,0,0,nan,nan,nan,0.008264462809917356,1.0,0.0,nan,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s040_r001_q010,train,call,0.25,0.4,0.01,0.1,121,120,0,0,0,nan,nan,nan,0.008264462809917356,1.0,0.0,nan,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s040_r005_q000,test,call,0.25,0.4,0.05,0.0,121,0,0,0,0,nan,nan,nan,1.0,nan,0.0,0.0,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s040_r005_q003,train,call,0.25,0.4,0.05,0.03,121,120,0,0,64,nan,nan,nan,0.008264462809917356,1.0,0.0,nan,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s040_r005_q006,train,call,0.25,0.4,0.05,0.06,121,120,0,0,0,nan,nan,nan,0.008264462809917356,1.0,0.0,nan,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s040_r005_q010,train,call,0.25,0.4,0.05,0.1,121,120,0,0,0,nan,nan,nan,0.008264462809917356,1.0,0.0,nan,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s040_r010_q000,test,call,0.25,0.4,0.1,0.0,121,0,0,0,0,nan,nan,nan,1.0,nan,0.0,0.0,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s040_r010_q003,train,call,0.25,0.4,0.1,0.03,121,120,0,0,120,nan,nan,nan,0.008264462809917356,nan,0.0,nan,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s040_r010_q006,train,call,0.25,0.4,0.1,0.06,121,120,0,0,64,nan,nan,nan,0.008264462809917356,1.0,0.0,nan,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s040_r010_q010,train,call,0.25,0.4,0.1,0.1,121,120,0,0,0,nan,nan,nan,0.008264462809917356,1.0,0.0,nan,stage4_boundary_diagnostic_only
premium_implied_boundary,call_T025_s060_r001_q000,test,call,0.25,0.6,0.01,0.0,121,0,0,0,0,nan,nan,nan,1.0,nan,0.0,0.0,stage4_boundary_diagnostic_only
