method_name,split,row_count,delta_mae,delta_rmse,delta_max_abs_error,delta_stable_relative_mae,relative_error_denominator_floor,downstream_use_status
direct_value_implied_delta,train,861030,0.09041601412692887,0.11794089602553194,0.9197321118856647,178.88091336483427,0.0001,stage5_delta_diagnostic_only
direct_value_implied_delta,validation,78983,0.0925908038222826,0.1215725418220217,0.679893305830958,230.2215788185274,0.0001,stage5_delta_diagnostic_only
direct_value_implied_delta,test,193872,0.13171813271221194,0.1684301775986581,0.9445471977504453,221.4244332418812,0.0001,stage5_delta_diagnostic_only
direct_value_implied_delta,stress_holdout,103124,0.10126365521483899,0.1250003667547612,0.5084851988201249,56.61876631015259,0.0001,stage5_delta_diagnostic_only
positive_premium_implied_delta,train,861030,0.023213207176267976,0.03766859623398349,0.3287949462124763,10.261595207259996,0.0001,stage5_delta_diagnostic_only
positive_premium_implied_delta,validation,78983,0.017499700388066735,0.030055545228636082,0.19626211500415597,10.66734798099791,0.0001,stage5_delta_diagnostic_only
positive_premium_implied_delta,test,193872,0.03806108132921786,0.05765810739171471,0.38111007566256405,10.238232956745312,0.0001,stage5_delta_diagnostic_only
positive_premium_implied_delta,stress_holdout,103124,0.03478068609182807,0.05065411598058423,0.3865718336045121,4.510874581716841,0.0001,stage5_delta_diagnostic_only
supervised_delta_head,train,861030,0.025284132041609342,0.040715612813830154,0.396238378363438,10.795013121065793,0.0001,stage5_delta_diagnostic_only
supervised_delta_head,validation,78983,0.0241848433724858,0.03816971673385201,0.3773566144122932,22.485992188623346,0.0001,stage5_delta_diagnostic_only
supervised_delta_head,test,193872,0.04030557594357851,0.05762588026155442,0.503041584307133,20.69196680416558,0.0001,stage5_delta_diagnostic_only
supervised_delta_head,stress_holdout,103124,0.03376794220338133,0.04806100815073663,0.3690676345627574,1.361372019015791,0.0001,stage5_delta_diagnostic_only
