model_name,split,region,row_count,value_mae,value_rmse,value_max_abs_error,value_stable_relative_mae,premium_mae,premium_rmse,premium_max_abs_error,premium_stable_relative_mae,downstream_use_status
direct_value_mlp,train,all,1051006,0.01203619039339015,0.015404176725267067,0.12662464380264282,22.53081223328187,0.01203619039339015,0.015404176725267067,0.12662464380264282,48.016678737839,stage3_surrogate_diagnostic_only
direct_value_mlp,train,boundary_near,64834,0.011761069875540577,0.015174394158754715,0.07194359626324648,0.2939550583619228,0.011761069875540577,0.015174394158754715,0.07194359626324648,71.91678681285875,stage3_surrogate_diagnostic_only
direct_value_mlp,train,strict_interior,861030,0.011719909483798563,0.014975637312163372,0.09430289855881024,26.29913446666633,0.011719909483798563,0.014975637312163372,0.09430289855881024,51.05516450804265,stage3_surrogate_diagnostic_only
direct_value_mlp,validation,all,98857,0.013539908174624972,0.01655835646759044,0.06395550072193146,33.54820974407305,0.013539908174624972,0.01655835646759044,0.06395550072193146,63.455896504408834,stage3_surrogate_diagnostic_only
direct_value_mlp,validation,boundary_near,8027,0.012753660147242326,0.015505608684045793,0.05262975893730558,0.19854511640551964,0.012753660147242326,0.015505608684045793,0.05262975893730558,85.79658899785868,stage3_surrogate_diagnostic_only
direct_value_mlp,validation,strict_interior,78983,0.013546732220857876,0.016536031775948173,0.06209804117679596,40.787862031369,0.013546732220857876,0.016536031775948173,0.06209804117679596,68.78089112015492,stage3_surrogate_diagnostic_only
direct_value_mlp,test,all,223729,0.023964731501457334,0.03335121365384882,0.2370446995518256,25.428134346766615,0.023964731501457334,0.03335121365384882,0.2370446995518256,33.263933423333576,stage3_surrogate_diagnostic_only
direct_value_mlp,test,boundary_near,2219,0.01067624194418604,0.013359856566956554,0.07135800098824495,0.036603662254503656,0.01067624194418604,0.013359856566956554,0.07135800098824495,56.28791647318619,stage3_surrogate_diagnostic_only
direct_value_mlp,test,strict_interior,193872,0.024784896853407904,0.034585923762182565,0.2370446995518256,28.133357436536706,0.024784896853407904,0.034585923762182565,0.2370446995518256,34.8037760545016,stage3_surrogate_diagnostic_only
direct_value_mlp,stress_holdout,all,124872,0.023259579856492938,0.028907312110260243,0.1311173290014267,20.24538113069204,0.023259579856492938,0.028907312110260243,0.1311173290014267,45.328285176871155,stage3_surrogate_diagnostic_only
direct_value_mlp,stress_holdout,boundary_near,6341,0.019572160558559305,0.02353728931731857,0.0784232149931078,0.04814763161749719,0.019572160558559305,0.02353728931731857,0.0784232149931078,135.31386039699697,stage3_surrogate_diagnostic_only
direct_value_mlp,stress_holdout,strict_interior,103124,0.023411665019579437,0.029065644728997444,0.10871474257638689,22.8483760407639,0.023411665019579437,0.029065644728997444,0.10871474257638689,43.421364491871046,stage3_surrogate_diagnostic_only
positive_premium_mlp,train,all,1051006,0.004336858565645479,0.006417421183269914,0.07914964109659195,3.9133973474090875,0.004336858565645479,0.006417421183269914,0.07914964109659195,7.269723349610869,stage3_surrogate_diagnostic_only
positive_premium_mlp,train,boundary_near,64834,0.0043680184668939085,0.005658315946981946,0.031642360981186834,0.032323565092843926,0.0043680184668939085,0.005658315946981946,0.031642360981186834,24.435709379156553,stage3_surrogate_diagnostic_only
positive_premium_mlp,train,strict_interior,861030,0.0038514069273944875,0.005731411675457657,0.060083133666890554,4.459758217828598,0.0038514069273944875,0.005731411675457657,0.060083133666890554,6.567057007414522,stage3_surrogate_diagnostic_only
positive_premium_mlp,validation,all,98857,0.0030731462734418006,0.0048568913758458175,0.03247040327628601,3.5637783016271305,0.0030731462734418006,0.0048568913758458175,0.03247040327628601,6.209810864158558,stage3_surrogate_diagnostic_only
positive_premium_mlp,validation,boundary_near,8027,0.0027471721442550827,0.003478334962276835,0.011651003981172914,0.02164430825008924,0.0027471721442550827,0.003478334962276835,0.011651003981172914,16.180306279722675,stage3_surrogate_diagnostic_only
positive_premium_mlp,validation,strict_interior,78983,0.0023107169009476403,0.003314879159865259,0.020665949112822546,4.272114266677574,0.0023107169009476403,0.003314879159865259,0.020665949112822546,5.86822771740184,stage3_surrogate_diagnostic_only
positive_premium_mlp,test,all,223729,0.007788045428194721,0.012268641982174276,0.117453892590766,2.965450414760726,0.007788045428194721,0.012268641982174276,0.117453892590766,4.193077223165113,stage3_surrogate_diagnostic_only
positive_premium_mlp,test,boundary_near,2219,0.007792303386271129,0.008630759968747232,0.017559238155166232,0.023068942077163507,0.007792303386271129,0.008630759968747232,0.017559238155166232,38.8536826899723,stage3_surrogate_diagnostic_only
positive_premium_mlp,test,strict_interior,193872,0.007245964049865286,0.011873610821339054,0.117453892590766,3.042325908991813,0.007245964049865286,0.011873610821339054,0.117453892590766,3.7013452223798575,stage3_surrogate_diagnostic_only
positive_premium_mlp,stress_holdout,all,124872,0.006607384942539352,0.009515969641226743,0.07403723150491714,2.358044551103158,0.006607384942539352,0.009515969641226743,0.07403723150491714,3.810550743877579,stage3_surrogate_diagnostic_only
positive_premium_mlp,stress_holdout,boundary_near,6341,0.0020623076599068967,0.002971924220564417,0.031602893184209196,0.006235564185702088,0.0020623076599068967,0.002971924220564417,0.031602893184209196,12.86650118976623,stage3_surrogate_diagnostic_only
positive_premium_mlp,stress_holdout,strict_interior,103124,0.006255044049819176,0.00897643554187532,0.06461121146746161,2.280149689440565,0.006255044049819176,0.00897643554187532,0.06461121146746161,2.9556386182854446,stage3_surrogate_diagnostic_only
