arm,boundary_conditional_mae,boundary_conditional_rmse,boundary_false_count,boundary_found_rate,boundary_missed_count,boundary_predicted_found,boundary_reference_found,delta_rmse,mae,max_abs_error,network_spec,normalized_lcp_residual_max,reference_source,regime_id,region,relative_l2,rmse,runtime_seconds,sample_count,scaled_gamma_rmse,seed,solver_converged,split,total_lcp_iterations,variant
A,nan,nan,0,1.0,0,0,0,0.0010379125644317006,7.236109681957918e-05,0.0029274010445664096,not_applicable,5.041747231175161e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r001_q000,all,0.000669071974207117,0.00023873302526597988,0.19265599999926053,5203,0.020844686138640017,deterministic,True,test,1680,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0010379125644317006,3.526857160950118e-08,9.798730471218405e-07,not_applicable,5.041747231175161e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r001_q000,exercise_region,1.9866537749906866e-06,1.2501082550701574e-07,0.19265599999926053,1375,0.020844686138640017,deterministic,True,test,1680,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0010379125644317006,9.83402017937062e-05,0.0029274010445664096,not_applicable,5.041747231175161e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r001_q000,continuation_region,0.0006718385762133135,0.00027832577958470376,0.19265599999926053,3828,0.020844686138640017,deterministic,True,test,1680,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0010379125644317006,0.000546277077671082,0.0029274010445664096,not_applicable,5.041747231175161e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r001_q000,payoff_kink_near,0.016205153546262067,0.0006948381356992016,0.19265599999926053,605,0.020844686138640017,deterministic,True,test,1680,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0010379125644317006,0.0,0.0,not_applicable,5.041747231175161e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r001_q000,maturity_row,0.0,0.0,0.19265599999926053,43,0.020844686138640017,deterministic,True,test,1680,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0010379125644317006,1.008709534238287e-05,0.00022919424589877557,not_applicable,5.041747231175161e-13,DIRK_policy_sinh_M480_N960,call_T025_s020_r001_q000,strict_interior,8.230510122744841e-05,3.1214234053972475e-05,0.19265599999926053,4560,0.020844686138640017,deterministic,True,test,1680,CN+PSOR
B,nan,nan,0,1.0,0,0,0,0.001037912565168863,7.236109677367105e-05,0.002927401044310269,not_applicable,3.4571738862222505e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r001_q000,all,0.000669071973862867,0.00023873302514314734,0.02008679999926244,5203,0.020844686144983124,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.001037912565168863,3.526857147438176e-08,9.798730609583363e-07,not_applicable,3.4571738862222505e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r001_q000,exercise_region,1.986653763788559e-06,1.2501082480211826e-07,0.02008679999926244,1375,0.020844686144983124,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.001037912565168863,9.834020173135662e-05,0.002927401044310269,not_applicable,3.4571738862222505e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r001_q000,continuation_region,0.0006718385758676405,0.00027832577944150006,0.02008679999926244,3828,0.020844686144983124,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.001037912565168863,0.0005462770772836623,0.002927401044310269,not_applicable,3.4571738862222505e-16,DIRK_policy_sinh_M480_N960,call_T025_s020_r001_q000,payoff_kink_near,0.016205153538402767,0.0006948381353622134,0.02008679999926244,605,0.020844686144983124,deterministic,True,test,120,CN+Policy Iteration
